feature	ASV001	ASV002	ASV003	ASV004	ASV005	ASV006	ASV007	ASV008	ASV009	ASV010	ASV011	ASV012	ASV013	ASV014	ASV015	ASV016	ASV017	ASV018	ASV019	ASV020	ASV021	ASV022	ASV023	ASV024	ASV025	ASV027	ASV028	ASV029	ASV030	ASV032	ASV033	ASV034	ASV035	ASV036	ASV037	ASV038	ASV039	ASV041	ASV042	ASV043	ASV044	ASV045	ASV046	ASV048	ASV049	ASV050	ASV051	ASV052	ASV055	ASV056	ASV058	ASV059	ASV061	ASV062	ASV063	ASV064	ASV065	ASV066	ASV067	ASV068	ASV069	ASV070	ASV072	ASV075	ASV083	ASV084	ASV086	ASV091	ASV092	ASV093	ASV095	ASV097
BPS_high_wk22_bps_d2_D	2.85e-05	0.228518291	0.112905911	0.049967418	0.067271698	0.002245085	0.114375681	0.101223857	0.000409062	0.061478236	0.003743394	0.006250089	0.081232133	0.016119903	0.010340711	0.011311044	0.01755162	0.016367243	0.000841907	0.011177861	0.001336587	0.004685189	0.010378763	0.006687691	0.002221303	0.000761046	0.013109015	0.001293778	0.013836765	0.001465013	0.000147453	0.000347227	0.001174865	0.002735009	0.000608837	0	0	0	0.004946798	0.001341343	0.002487669	0.003272497	0.005940914	0.003020401	9.99e-05	0.000903742	0.000175992	0	0.001117786	0.000366253	4.28e-05	0.000114157	0	8.56e-05	0.000318688	0	0	0	3.81e-05	6.66e-05	0.000532732	0	0.000637376	0	3.81e-05	0.000185505	1.9e-05	0	3.33e-05	0	0	0
BPS_high_wk22_bps_d2_E	2.06e-05	0.214084109	0.14785754	0.01518661	0.083761806	0.048873807	0.085716052	0.066865231	0.001371504	0.05966925	0.002301537	0.011054439	0.047740697	0.029131214	0.001580467	0.006636784	0.021114097	0.028857502	0.001913042	0.033027933	0.003366954	0.002489898	0.015271961	0.005683206	0.003225683	0.00035612	0.010674774	0.002875449	0.012087482	0.003552372	0.000547424	0.000553311	0.005397721	0.000791705	0.000588628	0	0.000155986	9.12e-05	0.003054981	0.003914378	0.00291371	0.003702472	0.006760396	0.00041204	0.000155986	0.000724013	5.59e-05	0	0.000335518	0.000188361	0.000244281	0.000200134	0	6.47e-05	0.000332575	0	0	0	0.000326689	0.000132441	0.000229565	0	0.000568026	0	9.12e-05	0.000656321	5.3e-05	0	0.000153043	0	5.89e-06	2.94e-05
BPS_high_wk22_bps_d2_F	1.88e-05	0.119956289	0.236072801	0.033604642	0.15818449	0.014145753	0.11195644	0.083438842	9.04e-05	0.054129927	0.006959831	0.004299495	0.040835783	0.029440802	0.007981008	0.007607958	0.018268144	0.006763886	0.001650463	0.004133695	0.000244932	0.008365363	0.009793504	0.002170473	0.000440877	0.000452182	0.011553244	0.001235964	0.003040922	0.000327832	7.91e-05	0.000267541	0.000293918	0.004563268	0.000233627	0	3.77e-05	0	0.002042354	0.001220891	0.00219685	0.001292486	0.005546763	0.000599141	0.000501168	0.001364082	6.41e-05	0	0.000350441	0.000437109	0	0.000162032	0	0	0.000565227	0	0	0	4.9e-05	0.00012435	0.000346673	0	0.000241164	0	0	3.39e-05	1.51e-05	0	0	0	0	1.88e-05
BPS_high_wk22_bps_d2_G	1.13e-05	0.086907151	0.103381672	0.000777136	0.031753158	0.057089288	0.159957899	0.12310809	0.002059787	0.100869185	0.001505229	0.014754259	0.052882947	0.000920491	0.004855211	0.014931567	0.026449018	0.024460909	0.00019617	0.030768534	0.002836922	0.001105343	0.021559855	0.008514539	0.004123346	0.000886538	0.015648342	0.002870875	0.035367215	0.005681389	0.000335753	0.000905401	0.009536888	0.014984382	0.003814001	0	0.000267848	3.02e-05	0.004161071	0.005398452	0.002840695	0.008703164	0.002980277	0.003383935	0.000207488	0.001320376	7.92e-05	0	0.000720548	0.000403658	0.000433838	0.000305573	0	0.000124493	0.000607373	0	0	0	9.43e-05	0.000188625	0.00039234	0	0.000829951	0	7.55e-05	0.000162218	4.53e-05	0	8.68e-05	0	7.55e-06	0.000158445
BPS_high_wk22_control_d7_A	0.001365002	0.093479768	0.224428481	0.014824837	0.118016101	0.093614583	0.015183541	0.273833369	0.000146852	0.019365214	0.001105002	0.032495233	0.02506837	0	0.004386303	0.005431119	0.001697225	0.011801129	0.000317778	0.005910194	0.000442964	0.002994819	0.005618897	4.33e-05	0.003952969	7.46e-05	0.012783352	0.002248522	4.81e-05	0.000563334	0.003230746	0.002210003	0.000216667	0.001509447	0.000288889	0.000207037	0.000541667	0.00142278	0.000327408	1.93e-05	0.000134815	0.003047782	0.009302236	0.001249446	0.000423704	0	0.000245556	4.57e-05	0.000291297	0.000192593	0	8.19e-05	0.000724631	5.06e-05	0.000178148	0.000984631	0.000158889	4.57e-05	0.000411667	5.54e-05	0.000137222	3.61e-05	7.7e-05	0	0.000110741	0	5.3e-05	2.17e-05	0	7.46e-05	0.000257593	0
BPS_high_wk22_control_d7_B	0.000725722	0.113276536	0.253838539	0.033182999	0.142878196	0.116196106	0.015292986	0.165197613	0.000161271	0.015201228	0.001443102	0.038040607	0.032015171	0	0.004240328	0.006473104	0.001092753	0.010340839	0.000672891	0.00266376	0.000417081	0.001337441	0.005925337	0	0.004562871	0.000197419	0.008255432	0.003344993	0	0.000297518	0.003559095	0.001195633	0.000169613	0.001971405	0.000225224	0.000164052	0.000784113	0.00066455	0.000422643	0.000330885	8.62e-05	0.001562665	0.005397034	0.000903676	0.000353129	0	7.79e-05	3.61e-05	0.00015293	0.000105661	0	3.89e-05	0.001215097	0	0.000147369	0.000144588	1.95e-05	0.000200199	0.000225224	5.28e-05	0.000122344	6.67e-05	3.89e-05	0	0.000139027	0	5.28e-05	1.11e-05	0	4.73e-05	8.06e-05	0
BPS_high_wk22_control_d7_C	0	0.033870462	0.16959072	0.035996551	0.061245085	0.107346275	0.029406001	0.037818913	0.00038864	0.03997113	0.000326588	0.041016212	0.127379195	0	0.001662334	0.023246548	0.000594391	0.132134319	0.000525807	0.015679499	0.003321402	0.00098303	0.024396138	0.000238409	0	0.000783812	0.01371997	0.011048479	0	0.004196658	0.003968047	0.003974578	0.002197939	0.011753909	0.009262041	0.000212282	5.88e-05	0.00946126	0.002625769	0.002478804	0.000306993	0.011041947	0.012214399	0.000401703	0.000437628	0	0.000715228	2.61e-05	0.000689101	0.000506212	0	0.000173092	0.000179624	0.000966701	0.000146965	0.00161008	6.86e-05	0.000199219	0.003184235	4.9e-05	0.000107774	0.000757685	0.000313525	0.00016656	0.00049968	0	0.000516009	0.000751153	2.61e-05	0	0.000140433	1.63e-05
BPS_high_wk22_control_d7_D	0	0.125376354	0.245336761	0.093654804	0.175922233	0.045283576	0.010370961	0.024299369	0.000260013	0.062624651	0.009712065	0.034277357	0.041374522	0.007552187	0.012235371	0.013981592	0.004343394	0.007179896	0.000945501	0.010341414	0.00095141	0.003714045	0.009490464	0.001373931	0.002115558	0.000487524	0.009062034	0.001604397	0.006172347	0.000895271	0.000274786	0.000865724	0.000419566	0.003217657	0.000262967	0	0	0	0.006246214	0.002313522	0.001654626	0.004432035	0.008157899	0.007832883	0.000118188	0.001571895	9.75e-05	0	0.000463886	0	0	0.000177281	0	2.36e-05	0.000130006	0	0	0	3.84e-05	0	8.86e-05	0	0.000301378	0	2.95e-05	0.00019501	0	0	0	0	2.95e-06	3.84e-05
BPS_high_wk22_control_d7_E	1.17e-05	0.073723803	0.313001535	0.026375993	0.178186041	0.109837233	0.012772178	0.035086286	0.000592358	0.055121419	0.004254475	0.014289549	0.029413653	0.028984704	0.00299389	0.010627433	0.001791665	0.013554208	0.001718714	0.024207903	0.001423994	0.00187337	0.010589499	0.000475637	0.004808899	0.000148819	0.01046986	0.004263229	0.001955074	0.002950119	0.000621538	0.001779993	0.001447338	0.001549469	0.000175081	0	0.000157573	0.000102131	0.001806255	0.001712878	0.001251831	0.002080549	0.005827288	0.000714915	0.000180917	0.002223532	9.34e-05	0	6.42e-05	0	0.000318064	0.000315146	0	6.71e-05	0.00022177	0	0	0	0.000274294	1.75e-05	0	0	0.000548588	0	0.000157573	6.42e-05	9.34e-05	0	1.17e-05	0	0.000408523	1.17e-05
BPS_high_wk22_control_d7_F	0	0.059758571	0.337662826	0.016323827	0.228279012	0.088269582	0.017391254	0.022549039	0	0.038884437	0.00948535	0.030683472	0.037857509	0.032109601	0.01436543	0.008872085	0.005128858	0.003847367	0.002010466	0.002447272	0.000188029	0.003199389	0.002646872	0.001157103	0.000512018	9.84e-05	0.012852519	0.001576552	0.001168674	0.000240099	6.94e-05	0.000416557	0.000153316	0.007038077	0.000190922	0	2.31e-05	0	0.00101825	0.000723189	0.001000894	0.001125282	0.003425024	0.000795508	0.000404986	0.00292747	6.36e-05	0	0.00041945	0	0	0.000147531	0	0	0.000118603	0	0	0	0	3.47e-05	8.97e-05	0	5.21e-05	0	0	4.05e-05	2.6e-05	0	0	0	2.89e-06	0
BPS_high_wk22_control_d7_G	3.48e-05	0.048743022	0.186625086	0.002599744	0.062222853	0.189016155	0.030034721	0.030762186	0.001066562	0.100630662	0.002428746	0.053278807	0.026252485	0.000304318	0.003901065	0.023131054	0.001953431	0.02280355	0.000182591	0.037054319	0.003573561	0.001414353	0.018638743	0.004602445	0.006167508	0.000808616	0.023707809	0.007431152	0.019415478	0.004153214	0.000521688	0.002976518	0.001654909	0.029237698	0.003153312	0	0.000527484	3.48e-05	0.007973127	0.004816917	0.00218819	0.00970629	0.005486416	0.009259957	0.000313013	0.00354168	0.00021737	0	0.000463722	0	0.000365181	0.000623127	0	0.000156506	0.000223166	0	0	0	8.69e-05	4.64e-05	0.000142015	0	0.002344696	0	8.69e-05	2.61e-05	0.000130422	0	5.8e-06	0	0.000356487	0.000110134
BPS_high_wk22_bps_d7_A	0.002601195	0.10711525	0.229884296	0.014885707	0.101682188	0.13245727	0.013963019	0.214947056	9.08e-05	0.02442424	0.000709194	0.050971154	0.019864787	0	0.004159458	0.009528717	0.003622041	0.013916394	0.000250304	0.00612017	0.000412265	0.001536177	0.005136133	3.44e-05	0.005445332	0.000201225	0.006934884	0.002728801	7.61e-05	0.000507969	0.002228194	0.00209568	0.000181593	0.00138894	0.000311653	0.000233126	0.000539871	0.000907964	0.000311653	0.000152145	0.000132514	0.002731255	0.009752028	0.001411026	0.000252758	0	0.000161961	4.17e-05	0.000188955	0.000127606	0	8.1e-05	0.000721464	4.66e-05	0.000147237	0.000269935	0	0.000213494	0.000309199	3.93e-05	5.15e-05	1.96e-05	5.64e-05	1.72e-05	0.000120244	0	5.4e-05	7.36e-05	2.45e-05	7.36e-05	7.36e-06	0
BPS_high_wk22_bps_d7_B	0.0007756	0.115652774	0.296776152	0.004984819	0.134855092	0.124286503	0.011495998	0.167535192	0.000154568	0.018117582	0.00135523	0.029392768	0.013221087	0	0.005034502	0.009547336	0.000988131	0.010325697	0.000852884	0.002917472	0.000488545	0.001645046	0.005810102	1.1e-05	0.004272702	0.000309136	0.005832183	0.003303892	0	0.000507866	0.001979023	0.001073696	0.000207011	0.002600055	0.000259453	0.008774496	0.000781121	0.000596191	0.000425062	0.000367099	7.18e-05	0.001901739	0.006188242	0.000946729	0.000267734	0	0.000140767	4.69e-05	0.00018493	8.56e-05	0	0.000104885	0.000971571	1.66e-05	0.000154568	0.000259453	0.000113166	0.000132487	0.00020149	2.48e-05	8.56e-05	4.42e-05	4.42e-05	0	0.000140767	0	4.69e-05	1.1e-05	2.21e-05	4.69e-05	8.28e-06	0
BPS_high_wk22_bps_d7_C	1.57e-05	0.033475077	0.161190225	0.013266223	0.048358112	0.051333152	0.048133482	0.051518602	0.00022463	0.048248409	0.000208958	0.059989239	0.147163917	0	0.001253748	0.022990607	0.000438812	0.120816921	0.000355229	0.02266411	0.002943696	0.001640321	0.035729211	0.000370901	0	0.000611202	0.017670013	0.012722932	0	0.003727289	0.003359	0.003761245	0.002421301	0.014211758	0.010771786	0.000133211	3.4e-05	0.011375153	0.002703395	0.004367223	0.000535455	0.010740443	0.014352805	0.000477991	0.000451872	0	0.000924639	7.57e-05	0.000739189	0.000681726	0	0.000331721	0.000232466	0.001042178	0.000261198	0.002567572	0	0.000146271	0.001958982	2.35e-05	8.1e-05	0.000666054	0.000525007	0.00022463	0.000459708	0	0.000297765	0.001016058	3.4e-05	2.35e-05	0	7.57e-05
BPS_high_wk22_bps_d7_D	3.01e-05	0.119336121	0.279723313	0.0971536	0.159480369	0.040544937	0.013090188	0.02903943	0.000159673	0.067909306	0.008287942	0.03407968	0.036625413	0.011406088	0.008348196	0.014376612	0.003024752	0.005606638	0.000949001	0.007670338	0.000762213	0.0027988	0.007335928	0.001187004	0.002114916	0.000207876	0.009580391	0.002389072	0.004998072	0.000686896	0.000250054	0.000620617	0.000349473	0.002310742	0.000231978	0	0	0	0.004621484	0.001406932	0.001018293	0.003573064	0.006820756	0.006814731	6.03e-05	0.001533465	9.04e-05	0	0.000337423	0	0	0.000108457	0	1.81e-05	0.000183775	0	0	0	0	6.03e-05	4.22e-05	0	0.0003796	0	0	0.000162686	0	0	0	0	0	3.92e-05
BPS_high_wk22_bps_d7_E	0.000501791	0.068210416	0.291379899	0.020135305	0.1537186	0.160906687	0.014159666	0.044781632	0.000657167	0.067321457	0.00360678	0.014867777	0.017868332	0.025267834	0.002070842	0.012262032	0.003048951	0.012506559	0.002223671	0.020107286	0.001484995	0.002037729	0.011041942	0.000626602	0.005084133	0.000145188	0.010746471	0.005163095	0.00142641	0.002692349	0.000555281	0.001487542	0.001431504	0.001062166	0.000135	0	0.000157924	3.31e-05	0.001513013	0.002618481	0.001332165	0.001920559	0.005675074	0.001996974	0.000132452	0.002024993	0.00018849	0	6.88e-05	0	0.000147735	0.000119717	7.64e-06	0	8.92e-05	0	0	0	0.000422829	0	1.53e-05	0	0.000379527	0	0.000109528	4.08e-05	0.000101886	0	0	0	8.41e-05	0
BPS_high_wk22_bps_d7_F	4.31e-05	0.072949139	0.335563987	0.013640279	0.234290402	0.082395406	0.010844955	0.015328138	5.13e-05	0.046521739	0.011160788	0.026583265	0.035223544	0.026062346	0.017385152	0.008863823	0.006603774	0.004253486	0.002799426	0.002871206	0.000182527	0.002073421	0.003371616	0.001287941	0.000742412	5.33e-05	0.014956932	0.001691961	0.001021329	0.000223544	7.59e-05	0.000494258	0.000196883	0.005900328	0.000149713	0	2.05e-05	0	0.001575062	0.000726005	0.000890074	0.001351518	0.003392125	0.000865463	0.00090443	0.003240361	8.41e-05	0	0.000434783	6.15e-06	0	0.000133306	0	0	0.000151764	0	0	0	4.72e-05	3.08e-05	8.82e-05	0	9.64e-05	0	0	4.51e-05	0	0	0	0	6.15e-06	0
BPS_high_wk22_bps_d7_G	2.33e-05	0.055543648	0.196827351	0.000895557	0.056108146	0.102732298	0.035455153	0.021344821	0.001604363	0.124686184	0.002540242	0.071190433	0.028619632	0.000333181	0.006969218	0.019424254	0.007015906	0.02827584	0.000333181	0.040648112	0.003851745	0.001377291	0.029521556	0.007438218	0.011113823	0.000373503	0.025455471	0.007075327	0.023254778	0.005137782	0.00056662	0.002559341	0.002873423	0.022388931	0.003743514	0	0.000396846	1.27e-05	0.011249642	0.006298611	0.002784292	0.010576913	0.005161126	0.007279055	0.000785204	0.001895101	0.000549643	0	0.00092739	0	0.000229195	0.000475367	0	0.000148552	0.000424435	0	0	0	7.64e-05	1.49e-05	0.000821281	0	0.001848413	0	9.76e-05	3.18e-05	8.7e-05	0	2.76e-05	0	6.37e-05	0.000133697
