feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV028	culture_day	d7	0.00834436422505199	0.00431089892225104	28	28	0.0679349247904456	0.191816258231847
ASV001	exposure	bps	0.00455565476140319	0.00239100330619101	28	22	0.0719844082187765	0.199341438144304
ASV004	culture_day	d7	0.031035517948718	0.0168126566013366	28	27	0.0805382963242134	0.218821031522391
ASV086	culture_day	d7	0.00231101983352282	0.00135103327241788	28	22	0.103442029575908	0.275845412202421
ASV015	culture_day	d7	0.00602437802681499	0.00379645488174344	28	28	0.129050878278026	0.331845115572066
ASV019	exposure	bps	0.00264752138550178	0.00166010830121973	28	28	0.127259050287688	0.331845115572066
ASV058	culture_day	d7	-0.00123740016348545	0.000790506382505064	28	10	0.134009942818451	0.338551434488717
ASV008	culture_day	d7	-0.0454341234033889	0.0292792023660292	28	28	0.137219008351795	0.340681675907904
ASV023	exposure	bps	0.00786779698300626	0.00515702058615233	28	28	0.14357187409476	0.350412709655008
ASV049	culture_day	d7	0.00232367812010873	0.0015460003655654	28	28	0.14927217946478	0.358253230715471
ASV025	exposure	bps	0.00515556356367278	0.00368091188727564	28	25	0.177447548744972	0.418892574086491
ASV004	exposure	bps	-0.0226269423520848	0.0168126566013366	28	27	0.194198670633617	0.437464798176207
ASV038	culture_day	d7	-0.00894998296536511	0.00663242121314678	28	12	0.193060436758907	0.437464798176207
ASV062	culture_day	d7	-0.00103840525978485	0.000771990078176897	28	22	0.194428799189425	0.437464798176207
ASV005	exposure	bps	-0.0139976976576286	0.0106357869252261	28	28	0.203800563459417	0.444655774820546
ASV072	culture_day	d7	-0.00227494362154302	0.0017174030427521	28	28	0.20100281736383	0.444655774820546
ASV065	exposure	bps	-0.00184370041768935	0.00143150149053057	28	10	0.213229799604691	0.458284942433963
ASV093	exposure	bps	0.000863705600552387	0.000688932946475974	28	9	0.225163401040691	0.476816613968523
ASV003	exposure	bps	0.0100010213696311	0.00808100125066027	28	28	0.230942242266377	0.479466869786447
ASV065	culture_day	d7	-0.00176323662209474	0.00143150149053057	28	10	0.233074172812856	0.479466869786447
ASV034	exposure	bps	-0.00196361496157422	0.00164751597366944	28	28	0.247989473240263	0.495978946480527
ASV043	culture_day	d7	0.0052921047748506	0.00441505613526292	28	28	0.245401548424887	0.495978946480527
ASV032	exposure	bps	0.00182758208748677	0.00156152053417557	28	28	0.256316865298524	0.505611350725856
ASV039	culture_day	d7	-0.000939250040901832	0.000859096189796753	28	24	0.287930369847199	0.552826310106623
ASV050	exposure	bps	-0.00236774361192255	0.00215117418053021	28	16	0.284787886301371	0.552826310106623
ASV049	exposure	bps	0.00165955865894317	0.0015460003655654	28	28	0.296512795092059	0.561813717016533
ASV006	exposure	bps	-0.013216221795373	0.0126669738845611	28	28	0.309875532760465	0.579507489837753
ASV009	exposure	bps	0.00137243260829174	0.00141811348850785	28	26	0.345309188699913	0.629424343959335
ASV033	exposure	bps	-0.00462767265455169	0.00473974935406212	28	28	0.341157406067404	0.629424343959335
ASV033	culture_day	d7	-0.00445420947826493	0.00473974935406212	28	28	0.359137324158649	0.645470723143191
ASV097	culture_day	d7	-0.000954487163063235	0.00102423276197431	28	16	0.363077281768045	0.645470723143191
ASV086	exposure	bps	-0.0012353181959427	0.00135103327241788	28	22	0.37199097972175	0.653252452194292
ASV013	exposure	bps	-0.00932128755325845	0.0104055270719932	28	28	0.381568072470535	0.661997619707916
ASV075	exposure	bps	0.000753314016089198	0.000854129426073537	28	9	0.388816600633154	0.66654274394255
ASV025	culture_day	d7	0.00316942195545175	0.00368091188727564	28	25	0.399950563965686	0.677563308365398
ASV059	exposure	bps	-0.000758825380099392	0.00093127889898104	28	28	0.425271012460277	0.712081695282325
ASV002	exposure	bps	0.0132456217402234	0.0167647351190659	28	28	0.439226443619505	0.726995492887456
ASV038	exposure	bps	0.00509491656461959	0.00663242121314678	28	12	0.451820867534181	0.739343237783206
ASV019	culture_day	d7	0.00118250744879457	0.00166010830121973	28	28	0.484930396231697	0.779975507186064
ASV083	exposure	bps	-0.000744291985570913	0.00105112312517821	28	23	0.48748469199129	0.779975507186064
ASV091	exposure	bps	0.00087229915770808	0.00128619233491611	28	9	0.505819775083762	0.800418105627052
ASV018	culture_day	d7	-0.00758780510273525	0.0115219743252276	28	28	0.518085729381611	0.810916793814696
ASV046	exposure	bps	0.00196807882364063	0.00307428932907755	28	28	0.529704871843409	0.811462782398414
ASV092	exposure	bps	0.000798510027481984	0.00124208711956232	28	15	0.527986270222637	0.811462782398414
ASV042	culture_day	d7	-0.00208349484555684	0.00344309158970514	28	28	0.552256737067138	0.837104948817556
ASV093	culture_day	d7	-0.000392021146585028	0.000688932946475974	28	9	0.576003627644509	0.864005441466763
ASV044	exposure	bps	0.000843752715130858	0.00157777682375167	28	28	0.599009935131968	0.880177863867382
ASV051	exposure	bps	0.00136244377178586	0.0025353671149512	28	28	0.597246462375156	0.880177863867382
ASV037	exposure	bps	0.000758610754010815	0.00145811347981747	28	28	0.60888595779111	0.885652302241615
ASV010	exposure	bps	0.00513936322108156	0.0106105956699279	28	28	0.63366578601055	0.899453464580149
ASV020	exposure	bps	-0.00193479621241515	0.00418477489539181	28	28	0.649086928821684	0.899453464580149
ASV028	exposure	bps	-0.00197550432758997	0.00431089892225104	28	28	0.651965102395693	0.899453464580149
ASV029	exposure	bps	0.0013033615457531	0.00296778262888687	28	28	0.665492112002749	0.899453464580149
ASV046	culture_day	d7	-0.00133783060555289	0.00307428932907755	28	28	0.668343893819972	0.899453464580149
ASV048	exposure	bps	0.00128716393692077	0.00294091455142145	28	28	0.66655694373105	0.899453464580149
ASV058	exposure	bps	-0.000372191226731003	0.000790506382505064	28	10	0.643125105430837	0.899453464580149
ASV066	exposure	bps	0.00051112279661237	0.00113032145231937	28	12	0.656250541111907	0.899453464580149
ASV068	exposure	bps	0.000458772466161508	0.00115130581196742	28	25	0.694718817988187	0.926291757317583
ASV007	exposure	bps	0.00143080115556547	0.00946952559235459	28	28	0.881493189409684	0.941062091596367
ASV008	exposure	bps	0.00695739569729362	0.0292792023660292	28	28	0.814717494007498	0.941062091596367
ASV011	exposure	bps	-0.000550132364496683	0.00214292090067986	28	27	0.800153665191447	0.941062091596367
ASV012	exposure	bps	-0.00245634501970709	0.00998433531553147	28	28	0.808304987512717	0.941062091596367
ASV014	exposure	bps	0.000670784424351216	0.00270764795425626	28	16	0.806995492166459	0.941062091596367
ASV015	exposure	bps	0.00087629919225561	0.00379645488174344	28	28	0.819921601176423	0.941062091596367
ASV021	exposure	bps	0.000383996992302007	0.00218651587171777	28	28	0.862450270904004	0.941062091596367
ASV022	exposure	bps	-0.00156422196964849	0.00525944817564965	28	28	0.769379475532812	0.941062091596367
ASV024	exposure	bps	-0.00146524099005528	0.00467985554412398	28	27	0.757619086394329	0.941062091596367
ASV027	exposure	bps	-0.00133817882221941	0.00373106691317759	28	28	0.723805005165526	0.941062091596367
ASV030	exposure	bps	-0.00142207591725667	0.00573137746612765	28	21	0.80670256680215	0.941062091596367
ASV035	exposure	bps	0.00067818016271518	0.00451733924378191	28	28	0.882245710871594	0.941062091596367
ASV036	exposure	bps	-0.000843618601341427	0.00443967119817103	28	28	0.851310230765123	0.941062091596367
ASV041	exposure	bps	-0.000397193005556946	0.00246656019037726	28	21	0.873768767302103	0.941062091596367
ASV041	culture_day	d7	0.000708902359602161	0.00246656019037726	28	21	0.7769132199286	0.941062091596367
ASV042	exposure	bps	0.000600344156424642	0.00344309158970514	28	28	0.863425491244895	0.941062091596367
