mz__rtMin,putative_mw,mz,rtMin,ion,lcms_run
249.0229__4.495,250.03018,249.0229,4.495,[M-H]-1,high-bps-wk07-wk22
478.73062__0.528,479.7388,478.73062,0.528,[M-H]-1,high-bps-wk07-wk22
478.72885__0.523,479.73617,478.72885,0.523,[M-H]-1,high-bps-wk07-wk22
476.73148__0.521,477.73876,476.73148,0.521,[M-H]-1,high-bps-wk07-wk22
190.05009__0.807,191.05737,190.05009,0.807,[M-H]-1,high-bps-wk07-wk22
104.94609__1.535,105.95337,104.94609,1.535,[M-H]-1,high-bps-wk07-wk22
253.1079__1.146,254.11519,253.1079,1.146,[M-H]-1,high-bps-wk07-wk22
186.96419__0.929,187.97147,186.96419,0.929,[M-H]-1,high-bps-wk07-wk22
249.1492__1.438,250.15677,249.1492,1.438,[M-H]-1,high-bps-wk07-wk22
307.15855__1.645,308.16583,307.15855,1.645,[M-H]-1,high-bps-wk07-wk22
72.00761__0.74,73.01489,72.00761,0.74,[M-H]-1,high-bps-wk07-wk22
72.00763__0.909,73.01498,72.00763,0.909,[M-H]-1,high-bps-wk07-wk22
176.82473__0.345,177.832,176.82473,0.345,[M-H]-1,high-bps-wk07-wk22
453.92634__0.655,454.93362,453.92634,0.655,[M-H]-1,high-bps-wk07-wk22
396.84516__0.575,397.85243,396.84516,0.575,[M-H]-1,high-bps-wk07-wk22
315.1242__1.293,316.13148,315.1242,1.293,[M-H]-1,high-bps-wk07-wk22
542.85461__0.465,543.86189,542.85461,0.465,[M-H]-1,high-bps-wk07-wk22
212.97865__1.137,213.98593,212.97865,1.137,[M-H]-1,high-bps-wk07-wk22
333.20551__1.639,334.21278,333.20551,1.639,[M-H]-1,high-bps-wk07-wk22
242.17552__2.521,243.1828,242.17552,2.521,[M-H]-1,high-bps-wk07-wk22
341.08592__3.812,342.09319,341.08592,3.812,[M-H]-1,high-bps-wk07-wk22
169.01333__0.816,170.02066,169.01333,0.816,[M-H]-1,high-bps-wk07-wk22
326.90342__4.214,327.9107,326.90342,4.214,[M-H]-1,high-bps-wk07-wk22
299.04448__2.201,300.05176,299.04448,2.201,[M-H]-1,high-bps-wk07-wk22
318.8302__0.546,319.83748,318.8302,0.546,[M-H]-1,high-bps-wk07-wk22
355.24899__1.609,356.25627,355.24899,1.609,[M-H]-1,high-bps-wk07-wk22
235.04546__0.461,236.05274,235.04546,0.461,[M-H]-1,high-bps-wk07-wk22
481.92037__0.464,482.92764,481.92037,0.464,[M-H]-1,high-bps-wk07-wk22
151.05019__1.003,170.06818,151.05019,1.003,[M-H-H2O]-1,high-bps-wk07-wk22
201.97076__0.495,167.00115,201.97076,0.495,[M+Cl]-1,high-bps-wk07-wk22
325.16555__2.87,326.17292,325.16555,2.87,[M-H]-1,high-bps-wk07-wk22
396.86753__0.576,397.87481,396.86753,0.576,[M-H]-1,high-bps-wk07-wk22
241.08684__1.535,242.09434,241.08684,1.535,[M-H]-1,high-bps-wk07-wk22
179.05518__0.713,180.06245,179.05518,0.713,[M-H]-1,high-bps-wk07-wk22
219.98328__1.112,220.99056,219.98328,1.112,[M-H]-1,high-bps-wk07-wk22
358.97538__0.631,359.98266,358.97538,0.631,[M-H]-1,high-bps-wk07-wk22
380.85121__0.565,381.85848,380.85121,0.565,[M-H]-1,high-bps-wk07-wk22
341.23583__1.699,342.24311,341.23583,1.699,[M-H]-1,high-bps-wk07-wk22
147.98856__0.695,148.99585,147.98856,0.695,[M-H]-1,high-bps-wk07-wk22
373.27513__1.929,374.28239,373.27513,1.929,[M-H]-1,high-bps-wk07-wk22
315.62869__1.415,633.27194,315.62869,1.415,[M-2H]-2,high-bps-wk07-wk22
74.00543__0.629,75.01287,74.00543,0.629,[M-H]-1,high-bps-wk07-wk22
356.94053__4.206,357.9478,356.94053,4.206,[M-H]-1,high-bps-wk07-wk22
337.33081__2.999,338.33808,337.33081,2.999,[M-H]-1,high-bps-wk07-wk22
185.06338__1.312,186.07068,185.06338,1.312,[M-H]-1,high-bps-wk07-wk22
184.06073__1.291,185.06798,184.06073,1.291,[M-H]-1,high-bps-wk07-wk22
186.97296__2.545,187.98017,186.97296,2.545,[M-H]-1,high-bps-wk07-wk22
301.06__1.954,302.06727,301.06,1.954,[M-H]-1,high-bps-wk07-wk22
153.0183__0.471,154.02559,153.0183,0.471,[M-H]-1,high-bps-wk07-wk22
205.10744__2.421,206.11472,205.10744,2.421,[M-H]-1,high-bps-wk07-wk22
90.93215__4.849,91.93943,90.93215,4.849,[M-H]-1,high-bps-wk07-wk22
594.84151__0.588,595.84878,594.84151,0.588,[M-H]-1,high-bps-wk07-wk22
361.02683__1.931,362.03411,361.02683,1.931,[M-H]-1,high-bps-wk07-wk22
375.29047__1.931,376.29789,375.29047,1.931,[M-H]-1,high-bps-wk07-wk22
349.77982__1.435,350.7871,349.77982,1.435,[M-H]-1,high-bps-wk07-wk22
460.81342__0.547,461.82054,460.81342,0.547,[M-H]-1,high-bps-wk07-wk22
327.29054__1.992,328.29782,327.29054,1.992,[M-H]-1,high-bps-wk07-wk22
88.03895__0.103,89.04621,88.03895,0.103,[M-H]-1,high-bps-wk07-wk22
357.26463__1.582,358.27192,357.26463,1.582,[M-H]-1,high-bps-wk07-wk22
176.00145__0.93,177.00868,176.00145,0.93,[M-H]-1,high-bps-wk07-wk22
616.84512__0.6,617.8524,616.84512,0.6,[M-H]-1,high-bps-wk07-wk22
472.6945__0.507,473.7023,472.6945,0.507,[M-H]-1,high-bps-wk07-wk22
144.01131__0.652,145.0189,144.01131,0.652,[M-H]-1,high-bps-wk07-wk22
267.12375__1.198,268.13106,267.12375,1.198,[M-H]-1,high-bps-wk07-wk22
92.02129__1.439,93.02862,92.02129,1.439,[M-H]-1,high-bps-wk07-wk22
152.96758__0.465,153.97485,152.96758,0.465,[M-H]-1,high-bps-wk07-wk22
202.91288__1.274,203.92016,202.91288,1.274,[M-H]-1,high-bps-wk07-wk22
327.11166__1.888,328.11894,327.11166,1.888,[M-H]-1,high-bps-wk07-wk22
400.01114__0.467,401.01842,400.01114,0.467,[M-H]-1,high-bps-wk07-wk22
394.89062__4.267,395.8979,394.89062,4.267,[M-H]-1,high-bps-wk07-wk22
126.87969__0.328,127.88649,126.87969,0.328,[M-H]-1,high-bps-wk07-wk22
367.90666__0.467,368.91393,367.90666,0.467,[M-H]-1,high-bps-wk07-wk22
387.28685__1.893,388.29415,387.28685,1.893,[M-H]-1,high-bps-wk07-wk22
311.29565__2.759,312.30293,311.29565,2.759,[M-H]-1,high-bps-wk07-wk22
237.07696__1.398,238.0842,237.07696,1.398,[M-H]-1,high-bps-wk07-wk22
584.81333__0.58,585.82061,584.81333,0.58,[M-H]-1,high-bps-wk07-wk22
347.01099__1.904,348.01827,347.01099,1.904,[M-H]-1,high-bps-wk07-wk22
160.99037__0.467,161.99778,160.99037,0.467,[M-H]-1,high-bps-wk07-wk22
160.9902__0.469,161.99629,160.9902,0.469,[M-H]-1,high-bps-wk07-wk22
248.0538__0.604,249.06108,248.0538,0.604,[M-H]-1,high-bps-wk07-wk22
398.23365__2.009,399.24093,398.23365,2.009,[M-H]-1,high-bps-wk07-wk22
108.97742__0.978,109.98465,108.97742,0.978,[M-H]-1,high-bps-wk07-wk22
364.99185__0.479,152.98972,364.99185,0.479,[2M-H+HAc]-1,high-bps-wk07-wk22
266.90532__0.592,267.91323,266.90532,0.592,[M-H]-1,high-bps-wk07-wk22
246.94015__1.531,247.94742,246.94015,1.531,[M-H]-1,high-bps-wk07-wk22
188.13656__1.599,189.14383,188.13656,1.599,[M-H]-1,high-bps-wk07-wk22
318.92383__0.461,319.93111,318.92383,0.461,[M-H]-1,high-bps-wk07-wk22
336.88332__1.393,337.89059,336.88332,1.393,[M-H]-1,high-bps-wk07-wk22
176.82491__4.775,177.83218,176.82491,4.775,[M-H]-1,high-bps-wk07-wk22
359.20773__1.351,360.21497,359.20773,1.351,[M-H]-1,high-bps-wk07-wk22
262.99428__0.592,264.00156,262.99428,0.592,[M-H]-1,high-bps-wk07-wk22
252.82844__0.476,253.83567,252.82844,0.476,[M-H]-1,high-bps-wk07-wk22
183.02843__3.467,184.0358,183.02843,3.467,[M-H]-1,high-bps-wk07-wk22
182.0086__1.177,183.01588,182.0086,1.177,[M-H]-1,high-bps-wk07-wk22
309.28004__2.341,310.28729,309.28004,2.341,[M-H]-1,high-bps-wk07-wk22
456.84655__0.916,457.85382,456.84655,0.916,[M-H]-1,high-bps-wk07-wk22
83.92918__4.622,84.93646,83.92918,4.622,[M-H]-1,high-bps-wk07-wk22
285.17083__0.786,286.17811,285.17083,0.786,[M-H]-1,high-bps-wk07-wk22
315.01163__1.067,316.01891,315.01163,1.067,[M-H]-1,high-bps-wk07-wk22
196.81073__1.744,197.81801,196.81073,1.744,[M-H]-1,high-bps-wk07-wk22
441.24159__1.589,442.24887,441.24159,1.589,[M-H]-1,high-bps-wk07-wk22
130.0496__0.265,131.05688,130.0496,0.265,[M-H]-1,high-bps-wk07-wk22
317.1397__1.608,318.14698,317.1397,1.608,[M-H]-1,high-bps-wk07-wk22
178.05001__0.74,179.05735,178.05001,0.74,[M-H]-1,high-bps-wk07-wk22
