sample,ASV001,ASV002,ASV003,ASV004,ASV005,ASV006,ASV007,ASV008,ASV009,ASV010,ASV011,ASV012,ASV013,ASV014,ASV015,ASV016,ASV017,ASV018,ASV019,ASV020,ASV021,ASV022,ASV023,ASV024,ASV025,ASV027,ASV028,ASV029,ASV030,ASV032,ASV033,ASV034,ASV035,ASV036,ASV037,ASV038,ASV039,ASV040,ASV041,ASV042,ASV043,ASV044,ASV045,ASV046,ASV048,ASV049,ASV051,ASV053,ASV055,ASV056,ASV058,ASV059,ASV061,ASV062,ASV063,ASV065,ASV066,ASV067,ASV068,ASV069,ASV070,ASV071,ASV072,ASV073,ASV075,ASV077,ASV079,ASV080,ASV081,ASV082,ASV083,ASV084,ASV085,ASV086,ASV087,ASV088,ASV090,ASV091,ASV092,ASV093,ASV095,ASV097,ASV098,ASV099,ASV102,ASV105,ASV106,ASV108,ASV111,ASV114,ASV115,ASV121,ASV123,ASV126,ASV134,ASV136,ASV142,ASV153
DINP_high_wk40_control_d2_E,7.38e-5,0.498988596,0.133167384,0.025711076,0.01115162,0,0.082944637,0.082516278,2.71294e-4,0.029540133,1.68964e-4,0.002056125,0.010323459,0.022757777,0.014190591,0.008983646,0.012289152,0.002748639,7.3535e-4,0.008493413,3.1175e-4,0.010275863,0.004224099,0.001484979,0.001830046,5.97323e-4,0.007962723,0.002770057,7.73426e-4,5.66386e-4,2.38e-5,2.64155e-4,2.86e-5,0.002758158,6.66e-5,0.002160835,9.80467e-4,0,1.33267e-4,6.3302e-4,0.002394052,0.002846209,5.2355e-4,0.004559647,4.49777e-4,3.33168e-4,1.0709e-4,0,2.62e-5,1.16609e-4,0,6.66e-5,5.47e-5,9.52e-6,9.82847e-4,0,0,0,3.81e-5,0.001011404,0,3.33e-5,5.47e-5,0.001132772,0,0,0,7.14e-6,1.68964e-4,0,0,0,0,0,0,0,1.19e-5,0,0,0,0,1.9e-5,9.04e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DINP_high_wk40_control_d2_F,2.28e-5,0.40934403,0.321495191,0.017440243,0.029175009,0,0.063353142,0.022156041,6.39e-5,0.038091242,2.82765e-4,0.0023031699999999998,0.007630106,0.012309418,0.013381191,0.005176432,0.005016806,0.00236246,7.84446e-4,0.009221802,1.27701e-4,0.006731642,0.001951994,0.001149305,0.001837975,9.44072e-4,0.005938074,7.89007e-4,5.06241e-4,1.55065e-4,3.65e-5,2.5084e-4,0,0.003457036,1.32261e-4,8.20932e-4,1.18579e-4,0,1.41383e-4,7.06914e-4,0.002097937,0.002572253,5.6097e-4,0.00603385,7.06914e-4,4.46952e-4,5.47e-5,0,1.09458e-4,1.14018e-4,0,1.14018e-4,0,2.74e-5,4.46952e-4,0,0,1.82e-5,4.56e-5,6.29381e-4,0,3.19e-5,0,4.19587e-4,0,0,0,0,9.58e-5,0,0,0,0,0,0,0,1.37e-5,0,0,0,0,3.19e-5,2.28e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DINP_high_wk40_control_d2_G,1.18337e-4,0.516867684,0.187716627,0.024016169,0.012465861,0,0.084754155,0.029995298,1.33908e-4,0.045634457,1.37022e-4,0.004172934,0.01229147,0.006972536,0.006222031,0.003824151,0.008760047,0.002338711,8.43929e-4,0.008358324,3.58125e-4,0.009280107,0.004144907,0.003182641,0.002858771,5.63657e-4,0.004440749,0.001672288,7.47391e-4,6.88223e-4,7.16e-5,1.74391e-4,2.92728e-4,0.002027298,2.61587e-4,1.93076e-4,2.67815e-4,0,2.42902e-4,4.26636e-4,0.00134219,0.002310684,7.3182e-4,0.003515852,0.001712771,4.01723e-4,1.0588e-4,0,4.05e-5,1.12109e-4,3.11e-5,4.98e-5,0,0,3.7681e-4,0,0,2.49e-5,9.34e-5,7.06907e-4,0,5.92e-5,4.05e-5,4.98261e-4,0,0,0,0,2.42902e-4,0,0,0,0,0,1.25e-5,0,0,0,0,0,0,4.36e-5,1.87e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DINP_high_wk40_dinp_d2_A,2.58633e-4,0.356334772,6.93e-5,0.020141368,0,0.016979115,0.239168749,0.05624865,0.002791635,0.029796107,1.17318e-4,0.045242088,0.031425227,0,0.003108927,0.018858869,0.008260254,0.016712483,0.002509005,0.021954465,0.00155713,0.01482473,0.033398303,0.013344923,0.010379977,3.5462e-4,0.014787401,0.001581127,0.002652987,0.001746438,0.00548195,0.001562463,1.22651e-4,0.002682316,0.005233983,0,7.57234e-4,0,0.005185989,0.001231839,4.66606e-4,7.86564e-4,7.73232e-4,0.003282238,3.70618e-4,0,0.003018272,0,1.06653e-4,8.27e-5,0.001786433,1.33e-5,0,4.27e-5,6.13253e-4,0,0,4.27e-5,2.69298e-4,0,2.4e-5,1.07e-5,3.09293e-4,0,4.53e-5,0,5.6e-5,0,1.22651e-4,2.13e-5,0,1.35982e-4,0,5.87e-5,2.4e-5,0,5.07e-5,0,4e-5,0,0,9.33e-5,7.2e-5,0,5.87e-5,2.0264e-4,0,2.13e-5,0,0,1.3065e-4,0,0,0,0,0,0,0
DINP_high_wk40_dinp_d2_B,1.66325e-4,0.33452731,2.58398e-4,0.054575425,9.21e-5,0.046309662,0.17329591,0.112076391,0.001413763,0.036873682,0.001134575,0.012994149,0.023935965,0,0.005652084,0.006685675,0.014942529,0.017235439,0.003011672,0.014927678,0.001054382,0.011289317,0.021417328,0.012982269,0.017265139999999998,0.001021711,0.024467611,0.00227509,0.003421545,0.001390003,0.015836526,8.96968e-4,0.002465176,0.00131575,0.001888978,0,3.47501e-4,0,0.001048442,9.23698e-4,2.10876e-4,4.81155e-4,0.002970091,0.008681577,1.84146e-4,8.02e-5,0.002661202,0,3.83142e-4,1.87116e-4,1.72265e-4,6.53e-5,3.2374e-4,4.16e-5,7.60343e-4,0,7.13e-5,4.16e-5,1.15834e-4,2.67e-5,6.24e-5,0,4.15813e-4,0,8.91e-5,0,4.46e-5,0,0,6.83e-5,0,0,0,2.97e-5,0,0,0,0,0,2.38e-5,1.30684e-4,3.56e-5,8.91e-5,0,0,4.16e-5,7.13e-5,0,0,0,0,2.97e-6,2.08e-5,0,0,0,0,0
DINP_high_wk40_dinp_d2_C,1.8334e-4,0.191093905,1.24884e-4,0.019638686,5.05e-5,0.030190063,0.246263442,0.097234216,0.003565839,0.063789196,3.24167e-4,0.018400474,0.104817603,0,0.001620836,0.009823329,0.012127042,0.018663528,7.97132e-4,0.024503851,3.45424e-4,0.006114006,0.020358763,0.00864623,0.031802928,0.004357657,0.022452564,0.007676385,0.004458627,0.004939564,0.00973033,0.001448124,0.001588951,0.00188389,0.001897175,0,1.8334e-4,0,0.00118507,0.002399369,0.00320713,6.48334e-4,0.00415306,0.004657911,3.4011e-4,6.38e-5,7.6259e-4,0,3.08225e-4,0.001264783,0.002455168,2.78996e-4,1.72712e-4,0,0.002123029,2.66e-5,0.00176432,0,2.44454e-4,0,4.64994e-4,0,2.36483e-4,0,9.57e-5,0,9.19359e-4,0,5.58e-5,7.17e-5,1.86e-5,0,4.25e-5,1.56769e-4,1.86e-5,0,8.24e-5,0,1.0097e-4,0,0,1.64741e-4,1.78026e-4,0,7.97e-6,1.75369e-4,3.99e-5,0,0,0,0,1.33e-5,0,0,0,0,0,0
DINP_high_wk40_dinp_d2_D,4.75657e-4,0.169621906,0.050625753,0,0,0,0.429084836,0.131302454,4.41304e-4,0.047481132,0,0.010340253,0.01698888,2.93322e-4,0.013986956,0.00479885,0.003017779,0.017763144,0.00239414,0.011711731,4.20164e-4,0.010089212,0.006500645,0.016899034,0.004751284,2.35186e-4,0.013273471,0.001450754,0.002698032,6.50064e-4,2.00833e-4,8.93178e-4,2.43114e-4,0.004206921,9.64527e-4,0,7.4e-5,0,0.002145741,7.10843e-4,0.003940025,0.00374712,6.52707e-4,2.40471e-4,0.009307021,0,9.77739e-4,7.93e-6,1.74408e-4,0.001120436,0,4.30734e-4,0,2.51041e-4,9.67169e-4,0,0,0,8.46e-5,4.23e-5,0,7.42553e-4,3.06534e-4,9.25e-5,0,0,0,0,5.02e-5,0,0,9.25e-5,0,0,0,0,0,0,0,0,0,2.64e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DINP_high_wk40_dinp_d2_E,1.21365e-4,0.521587079,0.149993932,0.01991131,0.013945759,0,0.078450264,0.037300098,2.10988e-4,0.034758904,2.22191e-4,0.004288848,0.009632638,0.024446623,0.013544322,0.011189843,0.010312281,0.002423563,8.5889e-4,0.009050086,3.52892e-4,0.012015124,0.004660412,0.002457172,0.001779396,3.23017e-4,0.007229613,0.002853008,6.88979e-4,6.36699e-4,2.8e-5,2.93143e-4,2.8e-5,0.002783924,7.1e-5,0.006310974,8.90632e-4,0,1.26966e-4,4.21976e-4,0.002115483,0.002488914,4.91061e-4,0.004300051,3.77165e-4,2.50198e-4,3.02479e-4,0,4.85e-5,6.91e-5,2.05e-5,3.73e-5,4.11e-5,0,9.35443e-4,0,0,0,6.91e-5,6.01223e-4,0,1.68e-5,5.04e-5,0.001187509,0,0,0,0,2.38995e-4,0,0,0,0,3.73e-6,2.24e-5,0,1.31e-5,0,0,0,0,5.41e-5,5.79e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DINP_high_wk40_dinp_d2_F,1.8e-5,0.338424301,0.283586768,0,0.032100332,0,0.100358183,0.061913841,2.59516e-4,0.040384289,2.95489e-4,0.00327093,0.013456291,0.011942876,0.013505111,0.007155961,0.008327638,0.005069555,6.78339e-4,0.009704871,2.36391e-4,0.006888737,0.003540723,0.002040156,0.00245127,0.001068898,0.009658621,0.001043203,7.34867e-4,1.74724e-4,7.71e-6,2.77502e-4,3.08e-5,0.003234957,1.49029e-4,0.015188111,1.9271e-4,0,1.67015e-4,8.78757e-4,0.003522737,0.005133792,7.55423e-4,0.007762355,0.001549388,3.13475e-4,6.94e-5,0,1.05348e-4,1.4389e-4,3.6e-5,8.22e-5,4.63e-5,0,3.98267e-4,0,0,3.34e-5,3.08e-5,9.48133e-4,0,0,4.88e-5,4.11114e-4,0,0,0,0,9.51e-5,0,0,0,0,0,0,0,2.06e-5,0,0,0,0,2.06e-5,5.14e-5,0,0,0,0,0,0,0,5.14e-6,0,0,0,0,0,0,0
DINP_high_wk40_dinp_d2_G,2.17304e-4,0.645728418,0.056616399,2.48348e-4,0.017291215,0,0.020126519,0.125325956,3.45e-5,0.04985927,5.17e-5,0.003211275,0.012658839,0.001648753,0.004825536,0.005104927,0.013631535,0.005473999,1.86261e-4,0.008916376,4.10464e-4,0.001172753,0.004894521,0.002431739,5.58783e-4,4.44956e-4,0.00290084,0.001086522,8.24377e-4,7.34696e-4,4.48e-5,2.27652e-4,3.48377e-4,0.002818058,2.69043e-4,1.55217e-4,2.58696e-4,0,3.06985e-4,3.17333e-4,0.001614261,0.001341768,7.27797e-4,0.002059217,0.001241739,0,5.86e-5,0,0,1.4142e-4,0,0,0,2.76e-5,4.83e-5,0,0,0,3.79e-5,1.72464e-4,0,0,8.62e-5,5.82927e-4,0,0,1.03e-5,0,1.27623e-4,0,0,0,0,0,0,0,0,0,0,0,0,6.21e-5,2.07e-5,0,0,0,0,0,0,0,0,1.03e-5,0,0,0,0,0,6.9e-6
DINP_high_wk40_control_d7_A,3.61387e-4,0.182470659,1.46764e-4,0.019817918,4.73e-6,0.263088458,0.048968783,0.148629647,0.001308254,0.024590125,3.31e-5,0.083226416,0.026040409,0,0.00335033,0.048605818,0.004974206,0.01206308,0.004276681,0.014719041,0.001196208,0.005466576,0.014829509,0.008037319,0.009938943,1.1678e-4,0.01348338,0.009201965,0.002452384,0.001398206,0.007330325,0.005610184,3e-5,0.006656472,0.00887214,0,9.63e-5,1.42e-5,0.002299308,0.001753281,0.002520243,6.31244e-4,7.33822e-4,0.004663318,9.62648e-4,0,3.29825e-4,1.26e-5,2.52e-5,6.47e-5,0.001707516,2.52e-5,0,6.63e-5,1.86217e-4,0,8.03258e-4,1.04155e-4,9e-5,0,0,0,1.02577e-4,0,0,0,8.68e-5,0,4.42e-5,0,2.05e-5,5.21e-5,0,1.0889e-4,2.37e-5,0,1.76748e-4,2.84e-5,0,0,4.15043e-4,6.47e-5,6.15e-5,0,9.15e-5,2.20936e-4,0,2.52e-5,0,0,3.63e-5,0,0,9.47e-6,0,0,0,0
DINP_high_wk40_control_d7_B,1.19361e-4,0.100711052,3.53821e-4,0.034527372,1.12967e-4,0.181305471,0.024718435,0.343468382,2.40854e-4,0.016199026,0.001266082,0.045570419,0.104560452,0,0.00426077,0.014308429,0.005294524,0.004218141,0.002287047,0.00790342,2.3446e-4,0.01789353,0.006245151,0.003427373,0.018556411,1.93962e-4,0.019641319,0.005134665,8.35529e-4,6.82064e-4,0.014719799,0.00258545,0.001182955,0.00214424,3.51689e-4,0,2.98e-5,0,3.28243e-4,4.32685e-4,0.001119012,2.08882e-4,3.47426e-4,0.008896676,2.87746e-4,8.95e-5,3.00535e-4,1.28e-5,0,9.38e-5,4.1137e-4,4.26e-6,1.70516e-4,0,1.55596e-4,0,4.77445e-4,1.28e-5,4.26e-5,6.61e-5,2.34e-5,0,1.08704e-4,0,1.49e-5,0,2.13e-5,0,2.56e-5,5.33e-5,2.98e-5,0,0,4.48e-5,0,0,1.06573e-4,0,1.38544e-4,0,5.05154e-4,0,2.34e-5,0,2.34e-5,1.49e-5,6.18e-5,0,0,0,0,0,4.48e-5,0,0,1.71e-5,0,0
DINP_high_wk40_control_d7_C,1.8344e-4,0.136409075,2.74129e-4,0.027821004,5.15e-5,0.262984544,0.039352973,0.145224487,8.32693e-4,0.049100012,7.19331e-4,0.041750056,0.086542326,0,0.002180665,0.030339693,0.003975901,0.010936305,9.23382e-4,0.013751796,4.28713e-4,0.004856,0.017682352,0.006090611,0.028280634,0.001143922,0.015369775,0.015048241,0.001084149,0.004697294,0.014398988,0.006142139,3.75124e-4,0.002928852,9.9346e-4,0,1.00995e-4,0,0.001380951,0.001704547,0.003046336,1.85501e-4,0.001956003,0.006962465,4.74058e-4,1.4634e-4,3.68941e-4,1.03e-5,9.28e-5,2.98862e-4,0.004575687,3.68941e-4,2.18479e-4,2.06e-5,7.00781e-4,0,3.1329e-4,3.3e-5,1.65e-5,1.24e-5,3.09e-5,0,7.42e-5,0,2.06e-5,0,0.001832336,0,0,6.39e-5,6.18e-5,0,0,2.55579e-4,3.71e-5,0,3.00924e-4,6.16275e-4,0,3.5e-5,5.11158e-4,8.04e-5,7.63e-5,0,1.86e-5,4.12e-5,3.71e-5,1.03e-5,0,0,0,0,0,2.27e-5,0,0,0,0
DINP_high_wk40_control_d7_D,4.25543e-4,0.096061978,0.037914139,0.046967131,1.75e-5,0,0.235986954,0.213695492,1.77795e-4,0.086291975,0,0.020050074,0.006476416,2.85639e-4,0.047783241,0.003244037,0.019694483,0.00866534,0.004299151,0.006919447,1.86539e-4,0.010965021,0.003258611,0.003299416,0.005916798,4.08e-5,0.014643345,0.001614732,8.91892e-4,2.65236e-4,2.41918e-4,0.001460254,2.91e-5,0.005441705,9.88076e-4,0,3.79e-5,0,0.001521462,5.88765e-4,0.003182829,0.002932167,1.8071e-4,1.04928e-4,0.009924481,0,0.00145151,0,0,6.55803e-4,1.46e-5,2.3026e-4,0,9.91e-5,4.02226e-4,0,0,0,5.25e-5,0,0,2.3026e-4,4.37e-5,2.50662e-4,0,0,0,0,0,0,0,1.46e-5,0,0,0,0,5.25e-5,0,0,0,0,3.21e-5,0,0,0,0,0,2.62e-5,0,0,0,0,0,0,0,0,0,0
