feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV003	culture_day	d7	0.0317829478648865	0.0264542019671155	28	28	0.244345927978898	0.528748565462534
ASV046	exposure	dinp	0.00466074784837273	0.00392200488619874	28	28	0.249334496629962	0.530841186373467
ASV086	exposure	dinp	0.000517617025056589	0.000450605686433365	28	14	0.264930579924873	0.555092643652115
ASV001	exposure	dinp	0.00307042040634067	0.00277048159411756	28	28	0.28158106117393	0.58076093867123
ASV013	culture_day	d7	0.0209855853991838	0.0201281039787014	28	28	0.310218239443579	0.620436478887157
ASV039	exposure	dinp	0.00129431034063237	0.00123550014565972	28	28	0.307967243904697	0.620436478887157
ASV032	exposure	dinp	0.00180688978143495	0.00175096039181846	28	28	0.315056922008686	0.620709159778307
ASV036	culture_day	d7	0.00323627094097939	0.00328226534061569	28	28	0.336529979690209	0.650208779850205
ASV044	exposure	dinp	0.00332639062933614	0.00339774273396798	28	28	0.339881862194426	0.650208779850205
ASV020	exposure	dinp	0.00453439920371374	0.00481262243324094	28	28	0.357922620053356	0.6749397978149
ASV009	exposure	dinp	0.00260228631086093	0.00284461803044997	28	28	0.371755657071602	0.691151362442979
ASV002	exposure	dinp	0.0211650447293554	0.0271137322896667	28	28	0.444653562723591	0.732875367055469
ASV004	exposure	dinp	-0.0175012680615291	0.0241084887414618	28	26	0.474618631393	0.732875367055469
ASV007	exposure	dinp	0.0205784545004601	0.0304629174842105	28	28	0.507481499845607	0.732875367055469
ASV008	exposure	dinp	-0.0291041937462116	0.0419125183710502	28	28	0.495833380826523	0.732875367055469
ASV011	exposure	dinp	0.00132840532768951	0.00216432596526181	28	24	0.546644175701781	0.732875367055469
ASV015	exposure	dinp	0.00511944428532888	0.00833215348631684	28	28	0.54622554505284	0.732875367055469
ASV016	exposure	dinp	-0.00549288527841193	0.00852022380319739	28	28	0.526837436933192	0.732875367055469
ASV019	exposure	dinp	0.0033325689770451	0.0041773119603934	28	28	0.434857122512866	0.732875367055469
ASV021	exposure	dinp	0.000790774184155232	0.00127492595799488	28	28	0.54246107203098	0.732875367055469
ASV022	culture_day	d7	-0.00690608307768681	0.00969408052555768	28	28	0.48487312772158	0.732875367055469
ASV024	exposure	dinp	0.00343355881799593	0.00563687240004601	28	28	0.549656525291602	0.732875367055469
ASV029	exposure	dinp	0.00430240218389271	0.00606828133917686	28	28	0.4869348118581	0.732875367055469
ASV033	culture_day	d7	0.0048213837118818	0.00635821174205475	28	28	0.457579501223888	0.732875367055469
ASV035	exposure	dinp	0.000981851599898577	0.00146755476043755	28	22	0.511518685971604	0.732875367055469
ASV036	exposure	dinp	-0.00261050886540439	0.00328226534061569	28	28	0.436240990522126	0.732875367055469
ASV038	culture_day	d7	0.0104309216503697	0.0137487167276929	28	12	0.457351086924462	0.732875367055469
ASV043	exposure	dinp	0.00228373570442746	0.00329645245585234	28	28	0.496825299984165	0.732875367055469
ASV045	exposure	dinp	0.00139882430048635	0.00225477926988293	28	28	0.542376742957237	0.732875367055469
ASV055	exposure	dinp	0.00108791397464713	0.0016935895991002	28	21	0.528307611363213	0.732875367055469
ASV056	exposure	dinp	0.00125248873815531	0.00156430183687158	28	26	0.433221459438338	0.732875367055469
ASV066	culture_day	d7	-0.00254358259942239	0.00375100783114202	28	11	0.505879467395045	0.732875367055469
ASV069	exposure	dinp	0.00174096462151065	0.00269550439791283	28	21	0.52608349387858	0.732875367055469
ASV069	culture_day	d7	-0.00229997979653646	0.00269550439791283	28	21	0.404141363865249	0.732875367055469
ASV071	exposure	dinp	-0.000836274077839085	0.00108495083232476	28	9	0.450308180699986	0.732875367055469
ASV079	exposure	dinp	0.000810084947974107	0.00129326648222883	28	14	0.538514894212615	0.732875367055469
ASV081	exposure	dinp	0.00113091425778872	0.00138957734986511	28	23	0.425810738491042	0.732875367055469
ASV095	exposure	dinp	-0.0014891424319988	0.00228153232555687	28	10	0.521773219720349	0.732875367055469
ASV105	culture_day	d7	-0.000716086602668817	0.000920630432454094	28	12	0.446252103129745	0.732875367055469
ASV067	exposure	dinp	0.000623793817927473	0.00104013687646587	28	19	0.555776287452062	0.733624699436722
