variable	V1	V2	V3
ko04930	-0.03857050585045618	-0	0
ko04931	0.0786770080835581	0	-0
ko04934	-0	-0.161027695001694	-0
ko04940	0	0	-0
ko04960	-0	-0.1661913146759754	-0
ko04961	-0	-0.1661913146759754	-0
ko04964	-0.01594732507711997	-0	0.056158655086393006
ko04970	-0	-0.1661913146759754	-0
ko04971	-0	-0.1661913146759754	-0
ko04972	-0	-0.1661913146759754	-0
ko04973	-0.13683159862503397	-0	0
ko04974	-0.04960815828669125	-0	0
ko04976	-0	-0.1601464137036673	-0
ko04978	-0	-0.15975497164215224	-0
ko04979	0	0	-0
ko05010	-0.04999345671640784	-0	0
ko05014	0	0	-0
ko05016	0	0	-0
ko05030	0	0	-0
ko05031	0	0	-0
ko05034	0	0	-0
ko05100	-0	-0	0
ko05110	-0.003853707932095147	-0.11943694622801644	0
ko05111	-0.13373379914702566	-0	0
ko05120	0.015361283900208411	0	-0.17571844185925525
ko05132	0	0	-0.13769543769279058
ko05133	0.08057687582792354	0	-0
ko05134	0	0	-0
ko05143	0	0	-0
ko05146	0	0	-0
ko05150	-0	-0.1844860622596942	-0
ko05152	-0.04593324262012593	-0	0
ko05165	-0.03857050585045618	-0	0
ko05166	0	0	-0
ko05200	-0.184051954951068	0	-0
ko05203	-0.03857050585045618	-0	0
ko05204	0.19312106799450104	-0	0
ko05205	-0.0346446828299449	-0	0
ko05206	0.0885995422399216	0	-0
ko05211	-0	-0.161027695001694	-0
ko05215	0	0.07691726088459035	-0
ko05219	0.15896229464687572	-0	0
ko05225	-0	-0	0
ko05230	-0.13042488687018888	-0	0
ko05231	0	0.057296019024934905	-0
ko05340	-0	-0.17005931080481157	-0
ko05418	0	0	-0.07471943508887058
