variable	V1	V2	V3
ko00720	0	0	0
ko00730	0	0	0
ko00740	-0	-0	-0
ko00750	0	0	0
ko00760	-0	-0	-0
ko00770	0	0	0
ko00780	0	0	0
ko00785	0	0	0.4408915408868106
ko00790	0	0	0
ko00791	0	0	0
ko00830	-0	-0	-0
ko00860	0	0.03317621633793333	0
ko00900	-0	-0	-0
ko00903	0	0	0
ko00906	0.0601876782733246	0	0
ko00908	-0	-0	-0
ko00909	0.3679449619157101	0	0
ko00910	0	0	0
ko00920	0	0	0
ko00930	0	0	0
ko00940	0	0	0
ko00944	-0	-0	-0
ko00950	0	0	0
ko00960	0	0	0
ko00966	0	0	0
ko00970	-0	-0	-0
ko00980	-0	-0	-0
ko00981	0	0	0
ko00982	-0	-0	-0
ko00983	-0	-0	-0
ko01040	0	0	0
ko01051	0	0	0
ko01053	0	0	0
ko01054	-0	-0	-0
ko01055	-0	-0	-0
ko01062	0.29698124765367145	0	0
ko01100	0	0	0.13427522450309148
ko01110	0	0	0
ko01120	0	0	0
ko01130	0	0	0
ko01200	0	0	0
ko01210	0	0	0
ko01212	0	0	0
ko01220	-0	-0	-0
ko01230	0	0	0
ko01501	0	0	0
ko01502	0	0	0
ko01503	0	0	0.34303572689646167
ko01523	0	0	0
ko01524	-0	-0	-0
ko02010	-0	-0	-0
ko02020	-0	-0	-0
ko02024	-0	-0	-0
ko02025	0	0	0
ko02026	-0	-0	-0
ko02030	0	0	0
ko02040	0	0	0
ko02060	-0	-0	-0
ko03008	-0	-0	-0
ko03010	-0	-0	-0
ko03013	-0	-0	-0
ko03018	0	0	0
ko03020	-0	-0	-0
ko03022	-0	-0	-0
ko03030	-0	-0	-0
ko03060	-0	-0	-0
ko03070	0	0	0
ko03320	0	0	0
ko03410	-0	-0	-0
ko03420	-0	-0	-0
ko03430	-0	-0	-0
ko03440	-0	-0	-0
ko04011	0.0010729828657155803	0	0.3623905654846273
ko04013	0.01482173470031204	0	0
ko04016	-0	-0	-0
ko04022	-0	-0	-0
ko04024	-0	-0	-0
ko04066	-0	-0	-0
ko04068	0	0	0
ko04070	0	0	0
ko04072	0	0	0
ko04080	-0	-0	-0
ko04112	0	0	0
ko04113	-0	-0	-0
ko04122	0	0	0
ko04138	0	0	0
ko04141	0	0	0
ko04142	0	0	0.40465275745541995
ko04146	0	0	0
ko04151	0	0	0
ko04152	0	0	0
ko04211	0	0.32481277800392894	0
ko04212	0	0.4197616259909867	-0
ko04213	-0	-0	-0
ko04214	0	0	0
ko04216	-0	-0	-0
ko04217	0	0	0
ko04260	-0	-0	-0
ko04261	-0	-0	-0
ko04612	0	0	0
ko04614	0	0.347834557129843	0
ko04621	0	0	0
ko04622	-0	-0	-0
ko04626	0	0	0
ko04657	0	0	0
ko04659	0	0	0
ko04714	0	0	0
ko04724	0	0	0
ko04727	0	0	0
ko04910	0	0	0
ko04911	-0	-0	-0
ko04914	0	0	0
ko04915	0	0	0
ko04917	-0	-0	-0
ko04918	-0	-0	-0
ko04919	-0	-0	-0
ko04920	0	0	0
ko04922	-0	-0	-0
ko04925	-0	-0	-0
ko04930	-0	-0	-0
ko04931	0	0	0
ko04934	-0	-0	-0
ko04940	0	0	0
ko04960	-0	-0	-0
ko04961	-0	-0	-0
ko04964	-0	-0	-0
ko04970	-0	-0	-0
ko04971	-0	-0	-0
ko04972	-0	-0	-0
ko04973	-0	-0	-0
ko04974	-0	-0	-0
ko04976	-0	-0	-0
ko04978	-0	-0	-0
ko04979	-0	-0	-0
ko05010	-0	-0	-0
ko05014	0	0.06756926540278702	0
ko05016	0	0.2431583934507436	0
ko05100	0	0	0
ko05110	-0	-0	-0
ko05111	-0	-0	-0
ko05120	0	0	0
ko05132	0	0	0
ko05133	0	0	0
ko05134	0	0	0
ko05143	0	0.347834557129843	0
ko05146	-0	-0	-0
ko05150	-0	-0	-0
ko05152	-0	-0	-0
ko05165	-0	-0	-0
ko05166	-0	-0	-0
ko05200	-0	-0	-0
ko05203	-0	-0	-0
ko05204	0	0	0
ko05205	-0	-0	-0
ko05206	0	0	0
ko05211	-0	-0	-0
ko05215	0	0	0
ko05219	0	0	0
ko05225	0	0	0
ko05230	-0	-0	-0
ko05231	0	0	0
ko05340	-0	-0	-0
ko05418	0	0	0
