variable	V1	V2	V3
ko00621	-0	-0.10385424265922234	0.05146974955381897
ko00622	0	-0.06535271358338257	0.11689057135435527
ko00623	0.07032522928379416	0.024883439265720796	0.011799039175095548
ko00624	0	-0	0.14609005480050274
ko00625	-0	-0.10053451081289752	-0.06891183028551422
ko00626	-0.0890441099659202	-0	7.427905782677584e-4
ko00627	-0	-0.10649444633452387	-0.05452415730832697
ko00630	0	0.10049448751697684	0.07090788052739212
ko00633	0	0.11352332921305121	0.01686841437779141
ko00640	0.08569709329246328	-0.030408888622952268	0.03431752784410098
ko00642	-0.08719123736191473	-0.0044501489030355675	0.002170145815721013
ko00643	0	-0.019671490869972583	0.02627767134789603
ko00650	0.0663917976937931	-0.022772773884584083	0.06017370315374145
ko00660	0.07678026470811496	0.013648880244839241	0.008990624590838752
ko00670	-0	0.06303459695902702	-0.118079543846101
ko00680	-0	-0.10819124314725544	0.029971667993535313
ko00710	-0.06100127900234914	-0.03945831656521569	-0.01647534904557255
ko00720	0.09514762232587799	-0.01831872300837859	0.013304244743171899
ko00730	0.048700588249435864	0.040192469892034274	0.03772209860285839
ko00740	-0.10580088193785223	0.012003927715307769	0.0074161075563224455
ko00750	0.0037743028488059502	0.09409743877305053	0.07304331098492606
ko00760	-0.09741572661759766	0.011476770276625298	-0.0058195473140899125
ko00770	0	0.10580352088030569	0.05688444350389993
ko00780	0	0.10296360686356902	0.06560333558814746
ko00785	0	0.11263439670410638	-0.01358865297891627
ko00790	0	0.1118166646362738	0.03169711395726068
ko00791	0	-0	0.14615280597599228
ko00830	-0.10005956585417654	0.017654562593249087	-0.005137836438249858
ko00860	0	0.1129028176130476	-0.014458216794275556
ko00900	-0.10481301976446168	0.0066448737248388685	0.00909616199630718
ko00903	0	-0.0033206276167608967	0.14659659685315543
ko00906	0	0.11338436593179727	-0.006840679780394189
ko00908	-0.11225023040045684	0.012195876632490645	0.017866697157455796
ko00909	0	0.11352851438046524	-0.006756319398401749
ko00910	0.10404551490896026	-0	-0.013940837816601478
ko00920	0.10403697126545614	-0	-0.014624796092960099
ko00930	0	-0.0052354566576169465	0.14450412263329968
ko00940	0	-0.010984279556415984	0.14345268549463938
ko00944	-0.09320538654375952	-0	0.009149798116376201
ko00950	0.017162428481321473	0.08179993394283448	0.05955091924330018
ko00960	0.06226757296384073	0.03495229309156971	0.017988908048954488
ko00966	0.095008528340151	-0.009100278824196034	0.00832625437133002
ko00970	-0.10624714442637016	0.001963235064944184	0.01445550374933401
ko00980	-0.10005415319290549	0.01768514920964416	-0.005159088733130948
ko00981	0	-0.013262795766520893	0.14626996674244938
ko00982	-0.10005415319290549	0.01768514920964416	-0.005159088733130948
ko00983	-0.09340678639990015	-0	0.008675625789365541
ko01040	0	0.1121195968788308	0.029361384229033807
ko01051	0.03782997492388808	-0.007369620152100336	0.09631021045451639
ko01053	0	0.11230350467130948	-0.005050507226268234
ko01054	-0.09280878602347908	-7.710908096475758e-6	0.008696457236978324
ko01055	-0.05807775767724656	0.01697303839182203	-0.07013328948114103
ko01062	0	0.11342007961304508	-0.006967611377041655
ko01100	0	0.11313853791051293	0.020864465453437852
ko01110	0	0.10052592525628685	0.07050838155710029
ko01120	0.11638980226517182	-0.018976619257506953	-0.020460973697880035
ko01130	0.012763688731196914	0.0862903133731648	0.06346377727339055
ko01200	0.05146218143826195	0.05045119099778157	0.02423231536053186
ko01210	0.07579454466800731	0.017168101254717873	0.008100936924552713
ko01212	0.11492138105255843	-0.018676599029027498	-0.01823444136375536
ko01220	0	-0.08906582941887904	0.08353176483218477
ko01230	0.07687414921615286	0.017116511476881886	0.006257422383212603
ko01501	0	0.10868489456952522	-0.03596364423033228
ko01502	0	-0.010176456760166652	0.14289554371520571
ko01503	0	0.11244083063029711	-0.016137512929254888
ko01523	-0	0.07646646163047764	-0.10241307655417761
ko01524	-0.10568602224620309	0.013118824547802749	0.006562778110327504
ko02010	-0	-0.11147623658704922	0.02274721396398446
ko02020	0	-0.03259456481754121	0.1354167412652674
ko02024	-0	-0.10538349287004867	-0.05904121614026312
ko02025	0.08026168614130459	0.006367026356080627	0.008288724870228083
ko02026	0	-0.07375085087466768	0.1017487130806494
ko02030	0.0015525769564201047	-0	0.14377283415744857
ko02040	0.005276860559700729	-0	0.13922842447309286
ko02060	-0.080479197479832	-0.009482820008580535	-0.0056767198152811215
ko03008	-0.1084600671620902	0.005125805622813736	0.01613891028864225
ko03010	-0.10898010551986902	0.0052330414684337665	0.0168793643632044
ko03013	-0.0855760768305322	0.021601695063888034	-0.030118553629886913
ko03018	-0	0.03872632227370183	-0.1349457701055114
ko03020	-0.09277945482303707	-0.0031248378027685423	0.01091198803473069
ko03022	0	-0.01867635088523129	0.02412205254780099
ko03030	-0	-0.10470237903136109	-0.06155031520838936
ko03050	0	-0	0.04887360041366821
ko03060	-0.10742600648378783	0.06948101029507907	-0.016460677833602267
ko03070	0.08837584954113223	-0	0.012824081910703328
ko03320	0.06569949386644361	-0.01730498016280333	0.0586480599710796
ko03410	-0.11065589756573574	0.018959481945340573	0.011137215574145288
ko03420	-0	-0.10900705331646794	0.028017466622652535
ko03430	-0	-0.11189816701019728	-0.030801613765429205
ko03440	-0	-0.1011445965911147	-0.07077510664222546
ko04011	0	0.11289188880121573	-0.005875911460414691
ko04013	0	0.1130677317022873	-0.0058970301350438304
ko04016	-0.03125729083122065	0.006815858852675621	-0.1059500071043105
ko04022	-0.09318239025238897	-0	0.009125407932079655
ko04024	-0.09318239025238897	-0	0.009125407932079655
ko04066	-0	0	-0.14587979212753624
ko04068	0	0.10990273067790246	0.042394607914087105
ko04070	0.016891070411696144	0.08213314617396501	0.05979199093616576
ko04072	0	-0	0.14609005480050274
ko04080	0	-0.019792568620345393	0.01926076102137326
ko04112	0	-0.013515423961706702	0.140693183963915
ko04113	-0	-0.028202594674284542	-0.017222229360045183
ko04122	-0	0.015453668767874766	-0.14124106545294182
ko04138	0	-0	0.14609005480050274
ko04141	-0	0.08375634497614022	-0.093799997722882
ko04142	0	0.11221297575571358	-0.019087965136197274
ko04146	0.06789945301282631	0.03520241617379259	0.007379894342723715
ko04151	0.07189785571569124	0.023617559113357372	0.009962518580070167
ko04152	0.046779800658961104	0.04926460320054057	0.03396910211080624
ko04211	0	0.11302668835393198	-0.005936424049301165
ko04212	0	0.11226489080960982	-0.021811870176949067
ko04213	-0	0	-0.1457274967404243
ko04214	0	0.11243265281807549	-0.005153739087477448
ko04216	0	-0.06538514557853473	0.11543185338353713
ko04217	0.09491595046412094	-0	-0.0013818065559690962
ko04260	-0.09318239025238897	-0	0.009125407932079655
ko04261	-0.09318239025238897	-0	0.009125407932079655
ko04612	0.07654576296141452	0.019986664570994014	0.004641100262175227
ko04614	0	0.11318804640326935	-0.008190889614851536
ko04621	0.08809190219457817	-0	0.01310274497035929
ko04622	-0.01668865365603184	-0.05905984902074961	-0.07849968410998047
ko04626	0	-0.006380213504478437	0.14468204590888542
ko04657	0.07654576296141452	0.019986664570994014	0.004641100262175227
ko04659	0.07654576296141452	0.019986664570994014	0.004641100262175227
ko04714	0.004341060214231936	-0	0.14278645357023892
ko04724	0.049111716307365584	0	0.06784782939432686
ko04727	0	0.09456167051630508	0.07869555853645548
ko04910	0.07107781825850959	0.02433325671530709	0.010859808115277689
