lcms_run,pathway,p_age,FDR_age,slope,direction
high-bps-wk07-wk22,map07232,4.382615544158152e-4,0.0016167383512595015,0.1323312293043962,increasing_with_age
high-bps-wk07-wk22,map04917,3.1254022746892465e-14,3.490032540069659e-12,-0.10660019029184908,decreasing_with_age
high-bps-wk07-wk22,map05215,0.012718903842960564,0.028789410725620197,-0.04655968996397418,decreasing_with_age
high-bps-wk07-wk22,map04974,1.9957125969203624e-5,1.0612122539179705e-4,-0.14229508597236756,decreasing_with_age
high-bps-wk07-wk22,map04964,1.3979334262632898e-11,1.7344729842771293e-10,-0.11279837804628726,decreasing_with_age
high-bps-wk07-wk22,map00230,0.015579015537451675,0.034793134700308745,-0.0472490466313195,decreasing_with_age
high-bps-wk07-wk22,map00240,0.0011127026554070595,0.0034836952295454666,-0.10095998206691817,decreasing_with_age
high-bps-wk07-wk22,map00620,0.008917534004401304,0.020602578561892668,-0.02869738312342932,decreasing_with_age
high-bps-wk07-wk22,map02024,0.006810126780895723,0.016579126918594103,0.04991859902084641,increasing_with_age
high-bps-wk07-wk22,map04015,5.903100566970022e-10,5.493163027597104e-9,-0.10716904057311538,decreasing_with_age
high-bps-wk07-wk22,map04014,5.903100566970022e-10,5.493163027597104e-9,-0.10716904057311538,decreasing_with_age
high-bps-wk07-wk22,map04923,0.005437537262796049,0.014343110102650996,-0.05154905856805435,decreasing_with_age
high-bps-wk07-wk22,map00740,0.023625900958692193,0.04826022451927978,-0.045219492044606964,decreasing_with_age
high-bps-wk07-wk22,map00450,1.1743805906934419e-10,1.4050624924367964e-9,-0.1114368960138509,decreasing_with_age
high-bps-wk07-wk22,map00500,7.845814286271314e-4,0.0026023245404959306,-0.029874432180687194,decreasing_with_age
high-bps-wk07-wk22,map00945,1.5770706726030616e-5,8.954553819017383e-5,-0.05744115285824776,decreasing_with_age
high-bps-wk07-wk22,map00643,0.002148743092802187,0.006314288913059059,-0.06864627251255653,decreasing_with_age
high-bps-wk07-wk22,map00566,7.836346535241602e-16,1.963089158378472e-13,-0.20878907589183085,decreasing_with_age
high-bps-wk07-wk22,map04742,0.006461562543048992,0.015916348911186855,-0.01431518704348548,decreasing_with_age
high-bps-wk07-wk22,map00430,4.6181222597306365e-6,2.8649462166847466e-5,-0.029941056692574578,decreasing_with_age
high-bps-wk07-wk22,map04714,5.062245719981489e-9,4.4627692531415754e-8,-0.0995843463446986,decreasing_with_age
high-bps-wk07-wk22,map00730,7.808899874296228e-4,0.0026023245404959306,-0.03708635162482764,decreasing_with_age
