culture_day	pathway	logFC	AveExpr	t	P.Value	adj.P.Val	B
d1	Metabolic pathways	-0.024647074418259148	25.461284836966904	-0.11921968074272729	0.9066097339834296	0.9395773606737361	-6.717565253918176
d1	Metabolism of xenobiotics by cytochrome P450	-0.07261378471313956	20.192994350614896	-0.08981809788378789	0.9295648093587948	0.9456296181268478	-6.720785043631764
d1	Chemical carcinogenesis - reactive oxygen species	-0.0679086627964362	20.204237137013088	-0.08431845069834253	0.9338664124637425	0.9456296181268478	-6.721286873035687
d1	Cutin, suberine and wax biosynthesis	-0.060888981156574935	19.0818077354559	-0.07988628866617961	0.9373346214766123	0.9456296181268478	-6.721668251557406
d1	Pantothenate and CoA biosynthesis	0.025274886054375747	18.50892715659425	0.046181069860161704	0.9637468068706914	0.9637468068706914	-6.723895272651903
d2	Nicotinate and nicotinamide metabolism	2.1613431509206635	21.451856965961603	7.14650020518569	8.129292704610152e-7	9.267393683255573e-5	5.978413160876228
d2	Biosynthesis of various antibiotics	-0.9401279116617874	20.230685436570095	-2.8097099213252354	0.0111170370432931	0.38869175281938295	-3.3685398834126072
d2	Indole alkaloid biosynthesis	-0.9592629904840045	20.168386626526303	-2.6991020603928244	0.014140260971885707	0.38869175281938295	-3.59429520102184
d2	Flavonoid biosynthesis	-0.7154393993262411	20.457187529232282	-2.5235901196915083	0.020592228212285707	0.38869175281938295	-3.9440725741524374
d2	Biosynthesis of plant secondary metabolites	0.9590171652296404	20.657413227605353	2.4644351404074194	0.02333166545285045	0.38869175281938295	-4.059384792312766
d2	Dioxin degradation	1.1014108808116718	16.55889029523107	2.25516325766231	0.03599596331003793	0.38869175281938295	-4.455580791125357
d2	Biosynthesis of phenylpropanoids	-0.5978295128273481	20.603865948644692	-2.158572090878739	0.04376135099712122	0.38869175281938295	-4.631684880017968
d2	Tryptophan metabolism	0.9407974943974197	16.843871019545553	2.151373162427885	0.04439732520691766	0.38869175281938295	-4.6446258355887
d2	Folate biosynthesis	0.670035238710653	20.673711608371043	2.136108854087671	0.045773733753939914	0.38869175281938295	-4.671978525573723
d2	Phenylalanine, tyrosine and tryptophan biosynthesis	0.670035238710653	20.673711608371043	2.136108854087671	0.045773733753939914	0.38869175281938295	-4.671978525573723
d2	Primary bile acid biosynthesis	0.670035238710653	20.673711608371043	2.136108854087671	0.045773733753939914	0.38869175281938295	-4.671978525573723
d2	Biosynthesis of various plant secondary metabolites	-0.620809516401212	20.50244502150206	-2.130488522701492	0.04629022283753974	0.38869175281938295	-4.682019917348894
d2	Bisphenol degradation	0.5776105954492382	21.872984666035855	2.0941434523450906	0.049759896678437825	0.38869175281938295	-4.746561325404388
d2	Biosynthesis of cofactors	0.626793523222742	20.771836860201923	2.037873221402061	0.055597258799049344	0.38869175281938295	-4.845112325768501
