variable	U1	U2	U3
Neomycin, kanamycin and gentamicin biosynthesis	0	0	-0
Neuroactive ligand signaling	-0.07093451469469053	-0.0777547063204059	-0
Neuroactive ligand-receptor interaction	-0.0176525105962887	-0.04106066190907492	0
Neurotrophin signaling pathway	0	0	0.1405934930991566
Neutrophil extracellular trap formation	-0	-0	0
Nicotinate and nicotinamide metabolism	0	0.0052778208638589175	0
Nitrogen metabolism	-0	-0	0
Nitrotoluene degradation	-0.0394436581587934	-0.043092078695894126	-0
Non-alcoholic fatty liver disease	0	0	0
Non-small cell lung cancer	-0.10637486696592616	-0.10820336831016023	-0
Nonribosomal peptide structures	0	0	0
Novobiocin biosynthesis	0.026653486268099304	0.024358360907563565	0
Nucleotide metabolism	-0.08874433763846623	-0.10078595903504221	-0
Olfactory transduction	0.01069681700002399	0.0163773687988598	0
One carbon pool by folate	-0.047548073997710494	-0.045261611721694024	-0
Opioid receptor agonists/antagonists	-1.5965594780461317e-4	-4.142588405857705e-4	-0
Other carbon fixation pathways	-0.06553041132735365	-0.06907148767660078	-0
Ovarian steroidogenesis	-0	-0	0
Oxytocin signaling pathway	0.08192774375995879	0.07342119173881517	0.05052038357695442
PD-L1 expression and PD-1 checkpoint pathway in cancer	0.0142781729425515	0.005149334819152143	0.06806347695051211
PPAR signaling pathway	-0	-0	0
Pancreatic secretion	0.0142781729425515	0.005149334819152143	0.06806347695051211
Pantothenate and CoA biosynthesis	-0	-0	-0
Parathyroid hormone synthesis, secretion and action	0.0142781729425515	0.005149334819152143	0.06806347695051211
Parkinson disease	0	0	0.1243584784098209
Pathways in cancer	-0.04637403811439501	-0.05778973503452623	-0
Pathways of neurodegeneration - multiple diseases	0	0	0.0940894341575278
Penicillin and cephalosporin biosynthesis	-0	-0	-0
Pentose and glucuronate interconversions	-0	-0	-0
Pentose phosphate pathway	0	0	0
Peptidoglycan biosynthesis	0	0	0
Phenazine biosynthesis	0	0	-0
Phenylalanine metabolism	-0	-0	-0
Phenylalanine, tyrosine and tryptophan biosynthesis	0.05001601962082734	0.037939100117825114	0.13600143570863582
Phenylpropanoid biosynthesis	-0	-0	-0
Phosphatidylinositol signaling system	0	0	0
Phospholipase D signaling pathway	0.0142781729425515	0.005149334819152143	0.06806347695051211
Phosphonate and phosphinate metabolism	0	0	0
Phosphotransferase system (PTS)	-0	-0	-0
Photosynthesis	-0	-0	-0
Phototransduction	0.01069681700002399	0.0163773687988598	0
Phototransduction - fly	-0	-0	0
Pinene, camphor and geraniol degradation	0	0	0
Plant hormone signal transduction	0	0	0
Platelet activation	0.1933354040397479	0.18477589429492652	0.1378986556049203
Polycyclic aromatic hydrocarbon degradation	0	0	0
Polyketide sugar unit biosynthesis	-0	-0	0
Porphyrin metabolism	-0	-0	-0
Potassium channel blocking and opening drugs	0	0	0
Primary bile acid biosynthesis	0.1405637833584567	0.13136125650743122	0.12361254273708959
Prodigiosin biosynthesis	0.0316934680745376	0.025922564172243437	0
