feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV017	exposure	dinp	-0.00227466879221261	0.00469338890373189	14	14	0.645106463904061	0.808532132563101
ASV019	exposure	dinp	-0.000725211694161945	0.00178447700151763	14	14	0.698546772212795	0.808532132563101
ASV022	exposure	dinp	-0.00191456725419561	0.00458579820361398	14	14	0.690840999645194	0.808532132563101
ASV023	exposure	dinp	0.00190824587329714	0.00445975146490137	14	14	0.683669328149135	0.808532132563101
ASV024	exposure	dinp	-0.00269330986619887	0.00505161998043863	14	10	0.613085259542	0.808532132563101
ASV027	exposure	dinp	0.00131070005307909	0.0027435333589671	14	14	0.649740757792819	0.808532132563101
ASV034	exposure	dinp	0.000658979118251809	0.0016478206658717	14	14	0.703071419620088	0.808532132563101
ASV063	exposure	dinp	0.000681806172925169	0.00143736394229291	14	13	0.652024455025754	0.808532132563101
ASV072	exposure	dinp	0.000692488852350237	0.0016206332845094	14	12	0.68407346283615	0.808532132563101
ASV020	exposure	dinp	-0.00157284266847455	0.00441291631509984	14	14	0.73372597629009	0.816566005871229
ASV039	exposure	dinp	0.000664050242455785	0.00181859936232892	14	13	0.727530032730549	0.816566005871229
ASV062	exposure	dinp	-0.000355446164506788	0.00112044291586845	14	8	0.761812538919353	0.834366114054529
ASV037	exposure	dinp	0.000326262757894055	0.00119919714077222	14	13	0.794689904089114	0.856775052846076
ASV015	exposure	dinp	0.000546284067207628	0.00285626369515312	14	14	0.854631192230425	0.907223880983067
ASV046	exposure	dinp	-0.000745771269313869	0.00484075292062035	14	14	0.882612966879431	0.922731738101224
ASV001	exposure	dinp	4.42918608672286e-05	0.00324866016415395	14	13	0.989564107555581	0.989564107555581
ASV055	exposure	dinp	-7.35139743505975e-05	0.00239325910662546	14	14	0.976000132261568	0.989564107555581
ASV059	exposure	dinp	1.79624358383159e-05	0.000997997865862434	14	14	0.986223658188765	0.989564107555581
