mz__rtMin	putative_mw	exact_mass	compoundID	compound	pathwayID	pathway	annotation	lcms_run
119.04888__0.803	120.05646	120.0575	C07113	Acetophenone; 1-Phenylethanone; Phenyl methyl ketone; Acetylbenzene; Methyl phenyl ketone; Melphalan	map01220	Degradation of aromatic compounds	putative_single	high-dinp-wk07-wk22
119.04888__0.803	120.05646	120.0575	C07113	Acetophenone; 1-Phenylethanone; Phenyl methyl ketone; Acetylbenzene; Methyl phenyl ketone; Melphalan	map00642	Ethylbenzene degradation	putative_single	high-dinp-wk07-wk22
119.04888__0.803	120.05646	120.0575	C07113	Acetophenone; 1-Phenylethanone; Phenyl methyl ketone; Acetylbenzene; Methyl phenyl ketone; Melphalan	map05204	Chemical carcinogenesis - DNA adducts	putative_single	high-dinp-wk07-wk22
119.04893__0.82	120.05651	120.0575	C07113	Acetophenone; 1-Phenylethanone; Phenyl methyl ketone; Acetylbenzene; Methyl phenyl ketone; Melphalan	map01100	Metabolic pathways	putative_single	high-bps-wk07-wk22
119.04893__0.82	120.05651	120.0575	C07113	Acetophenone; 1-Phenylethanone; Phenyl methyl ketone; Acetylbenzene; Methyl phenyl ketone; Melphalan	map01120	Microbial metabolism in diverse environments	putative_single	high-bps-wk07-wk22
119.04893__0.82	120.05651	120.0575	C07113	Acetophenone; 1-Phenylethanone; Phenyl methyl ketone; Acetylbenzene; Methyl phenyl ketone; Melphalan	map01220	Degradation of aromatic compounds	putative_single	high-bps-wk07-wk22
119.04893__0.82	120.05651	120.0575	C07113	Acetophenone; 1-Phenylethanone; Phenyl methyl ketone; Acetylbenzene; Methyl phenyl ketone; Melphalan	map00642	Ethylbenzene degradation	putative_single	high-bps-wk07-wk22
119.04893__0.82	120.05651	120.0575	C07113	Acetophenone; 1-Phenylethanone; Phenyl methyl ketone; Acetylbenzene; Methyl phenyl ketone; Melphalan	map05204	Chemical carcinogenesis - DNA adducts	putative_single	high-bps-wk07-wk22
119.04894__1.335	120.05653	120.0575	C07113	Acetophenone; 1-Phenylethanone; Phenyl methyl ketone; Acetylbenzene; Methyl phenyl ketone; Melphalan	map01100	Metabolic pathways	putative_single	high-wk40
119.04894__1.335	120.05653	120.0575	C07113	Acetophenone; 1-Phenylethanone; Phenyl methyl ketone; Acetylbenzene; Methyl phenyl ketone; Melphalan	map01120	Microbial metabolism in diverse environments	putative_single	high-wk40
119.04894__1.335	120.05653	120.0575	C07113	Acetophenone; 1-Phenylethanone; Phenyl methyl ketone; Acetylbenzene; Methyl phenyl ketone; Melphalan	map01220	Degradation of aromatic compounds	putative_single	high-wk40
119.04894__1.335	120.05653	120.0575	C07113	Acetophenone; 1-Phenylethanone; Phenyl methyl ketone; Acetylbenzene; Methyl phenyl ketone; Melphalan	map00642	Ethylbenzene degradation	putative_single	high-wk40
119.04894__1.335	120.05653	120.0575	C07113	Acetophenone; 1-Phenylethanone; Phenyl methyl ketone; Acetylbenzene; Methyl phenyl ketone; Melphalan	map05204	Chemical carcinogenesis - DNA adducts	putative_single	high-wk40
119.04899__6.691	120.05663	120.0575	C07113	Acetophenone; 1-Phenylethanone; Phenyl methyl ketone; Acetylbenzene; Methyl phenyl ketone; Melphalan	map01100	Metabolic pathways	putative_single	low-select
119.04899__6.691	120.05663	120.0575	C07113	Acetophenone; 1-Phenylethanone; Phenyl methyl ketone; Acetylbenzene; Methyl phenyl ketone; Melphalan	map01120	Microbial metabolism in diverse environments	putative_single	low-select
119.04899__6.691	120.05663	120.0575	C07113	Acetophenone; 1-Phenylethanone; Phenyl methyl ketone; Acetylbenzene; Methyl phenyl ketone; Melphalan	map01220	Degradation of aromatic compounds	putative_single	low-select
119.04899__6.691	120.05663	120.0575	C07113	Acetophenone; 1-Phenylethanone; Phenyl methyl ketone; Acetylbenzene; Methyl phenyl ketone; Melphalan	map00642	Ethylbenzene degradation	putative_single	low-select
119.04899__6.691	120.05663	120.0575	C07113	Acetophenone; 1-Phenylethanone; Phenyl methyl ketone; Acetylbenzene; Methyl phenyl ketone; Melphalan	map05204	Chemical carcinogenesis - DNA adducts	putative_single	low-select
126.05482__1.338	127.06225	127.0633	C08268	L-Baikiain; 4,5-Dehydropipecolic acid; trans-4-Hydroxy-L-proline betaine; 3-(Methylsulfanyl)propanoate; 3-Methylthiopropanoic acid	map01100	Metabolic pathways	putative_single	high-bps-wk07-wk22
126.05482__1.338	127.06225	127.0633	C08268	L-Baikiain; 4,5-Dehydropipecolic acid; trans-4-Hydroxy-L-proline betaine; 3-(Methylsulfanyl)propanoate; 3-Methylthiopropanoic acid	map01120	Microbial metabolism in diverse environments	putative_single	high-bps-wk07-wk22
126.05482__1.338	127.06225	127.0633	C08268	L-Baikiain; 4,5-Dehydropipecolic acid; trans-4-Hydroxy-L-proline betaine; 3-(Methylsulfanyl)propanoate; 3-Methylthiopropanoic acid	map00270	Cysteine and methionine metabolism	putative_single	high-bps-wk07-wk22
126.05482__1.338	127.06225	127.0633	C08268	L-Baikiain; 4,5-Dehydropipecolic acid; trans-4-Hydroxy-L-proline betaine; 3-(Methylsulfanyl)propanoate; 3-Methylthiopropanoic acid	map00920	Sulfur metabolism	putative_single	high-bps-wk07-wk22
128.01636__4.028	129.02364	129.0248	C16817	Ophiobolin F; Ophiobolene; 1-O-(4-Hydroxycinnamoyl)-beta-D-glucose; Goitrin	map01110	Biosynthesis of secondary metabolites	putative_single	low-select
128.01636__4.028	129.02364	129.0248	C16817	Ophiobolin F; Ophiobolene; 1-O-(4-Hydroxycinnamoyl)-beta-D-glucose; Goitrin	map00900	Terpenoid backbone biosynthesis	putative_single	low-select
129.01809__0.359	130.02544	130.0266	C02132	Acetylpyruvate; Acetylpyruvic acid; 2,4-Dioxopentanoate; Hypertensin; Phenylglyoxylate; 2-Oxo-2-phenylacetate; Allocryptopine	map01100	Metabolic pathways	putative_multi	high-dinp-wk07-wk22
129.01809__0.359	130.02544	130.0266	C02132	Acetylpyruvate; Acetylpyruvic acid; 2,4-Dioxopentanoate; Hypertensin; Phenylglyoxylate; 2-Oxo-2-phenylacetate; Allocryptopine	map04924	Renin secretion	putative_multi	high-dinp-wk07-wk22
129.01809__0.359	130.02544	130.0266	C02132	Acetylpyruvate; Acetylpyruvic acid; 2,4-Dioxopentanoate; Hypertensin; Phenylglyoxylate; 2-Oxo-2-phenylacetate; Allocryptopine	map05415	Diabetic cardiomyopathy	putative_multi	high-dinp-wk07-wk22
129.01809__0.359	130.02544	130.0266	C02132	Acetylpyruvate; Acetylpyruvic acid; 2,4-Dioxopentanoate; Hypertensin; Phenylglyoxylate; 2-Oxo-2-phenylacetate; Allocryptopine	map01110	Biosynthesis of secondary metabolites	putative_multi	high-dinp-wk07-wk22
129.01809__0.359	130.02544	130.0266	C02132	Acetylpyruvate; Acetylpyruvic acid; 2,4-Dioxopentanoate; Hypertensin; Phenylglyoxylate; 2-Oxo-2-phenylacetate; Allocryptopine	map04925	Aldosterone synthesis and secretion	putative_multi	high-dinp-wk07-wk22
129.01809__0.359	130.02544	130.0266	C02132	Acetylpyruvate; Acetylpyruvic acid; 2,4-Dioxopentanoate; Hypertensin; Phenylglyoxylate; 2-Oxo-2-phenylacetate; Allocryptopine	map01120	Microbial metabolism in diverse environments	putative_multi	high-dinp-wk07-wk22
129.01809__0.359	130.02544	130.0266	C02132	Acetylpyruvate; Acetylpyruvic acid; 2,4-Dioxopentanoate; Hypertensin; Phenylglyoxylate; 2-Oxo-2-phenylacetate; Allocryptopine	map04923	Regulation of lipolysis in adipocytes	putative_multi	high-dinp-wk07-wk22
129.01809__0.359	130.02544	130.0266	C02132	Acetylpyruvate; Acetylpyruvic acid; 2,4-Dioxopentanoate; Hypertensin; Phenylglyoxylate; 2-Oxo-2-phenylacetate; Allocryptopine	map00360	Phenylalanine metabolism	putative_multi	high-dinp-wk07-wk22
129.01809__0.359	130.02544	130.0266	C02132	Acetylpyruvate; Acetylpyruvic acid; 2,4-Dioxopentanoate; Hypertensin; Phenylglyoxylate; 2-Oxo-2-phenylacetate; Allocryptopine	map00860	Porphyrin metabolism	putative_multi	high-dinp-wk07-wk22
129.01809__0.359	130.02544	130.0266	C02132	Acetylpyruvate; Acetylpyruvic acid; 2,4-Dioxopentanoate; Hypertensin; Phenylglyoxylate; 2-Oxo-2-phenylacetate; Allocryptopine	map05020	Prion disease	putative_multi	high-dinp-wk07-wk22
129.01809__0.359	130.02544	130.0266	C02132	Acetylpyruvate; Acetylpyruvic acid; 2,4-Dioxopentanoate; Hypertensin; Phenylglyoxylate; 2-Oxo-2-phenylacetate; Allocryptopine	map05171	Coronavirus disease - COVID-19	putative_multi	high-dinp-wk07-wk22
