pathwayID	pathway
map04923	Regulation of lipolysis in adipocytes
map04926	Relaxin signaling pathway
map04924	Renin secretion
map00830	Retinol metabolism
map04723	Retrograde endocannabinoid signaling
map00740	Riboflavin metabolism
map04970	Salivary secretion
map00121	Secondary bile acid biosynthesis
map00450	Selenocompound metabolism
map04726	Serotonergic synapse
map07211	Serotonin receptor agonists/antagonists
map00909	Sesquiterpenoid and triterpenoid biosynthesis
map05131	Shigellosis
map05222	Small cell lung cancer
map00600	Sphingolipid metabolism
map04071	Sphingolipid signaling pathway
map05017	Spinocerebellar ataxia
map00500	Starch and sucrose metabolism
map00404	Staurosporine biosynthesis
map00984	Steroid degradation
map00140	Steroid hormone biosynthesis
map00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis
map00521	Streptomycin biosynthesis
map00643	Styrene degradation
map00566	Sulfoquinovose metabolism
map01320	Sulfur cycle
map00920	Sulfur metabolism
map04721	Synaptic vesicle cycle
map05322	Systemic lupus erythematosus
map04660	T cell receptor signaling pathway
map04350	TGF-beta signaling pathway
map04742	Taste transduction
map00430	Taurine and hypotaurine metabolism
map00552	Teichoic acid biosynthesis
map00900	Terpenoid backbone biosynthesis
map00253	Tetracycline biosynthesis
map04658	Th1 and Th2 cell differentiation
map04659	Th17 cell differentiation
map04714	Thermogenesis
map00730	Thiamine metabolism
map04919	Thyroid hormone signaling pathway
map04918	Thyroid hormone synthesis
map00623	Toluene degradation
map00960	Tropane, piperidine and pyridine alkaloid biosynthesis
map00380	Tryptophan metabolism
map02020	Two-component system
map01052	Type I polyketide structures
map04930	Type II diabetes mellitus
map00350	Tyrosine metabolism
map00130	Ubiquinone and other terpenoid-quinone biosynthesis
map04370	VEGF signaling pathway
map00290	Valine, leucine and isoleucine biosynthesis
map00280	Valine, leucine and isoleucine degradation
map01502	Vancomycin resistance
map04270	Vascular smooth muscle contraction
map05110	Vibrio cholerae infection
map00750	Vitamin B6 metabolism
map04977	Vitamin digestion and absorption
map00622	Xylene degradation
map00908	Zeatin biosynthesis
map00592	alpha-Linolenic acid metabolism
map00410	beta-Alanine metabolism
map01501	beta-Lactam resistance
map04024	cAMP signaling pathway
map04022	cGMP-PKG signaling pathway
map00942	Anthocyanin biosynthesis
map05034	Alcoholism
map05031	Amphetamine addiction
map01056	Biosynthesis of type II polyketide backbone
map04980	Cobalamin transport and metabolism
map05030	Cocaine addiction
map04981	Folate transport and metabolism
map00604	Glycosphingolipid biosynthesis - ganglio series
map00603	Glycosphingolipid biosynthesis - globo and isoglobo series
map00601	Glycosphingolipid biosynthesis - lacto and neolacto series
map07024	HMG-CoA reductase inhibitors
map00403	Indole diterpene alkaloid biosynthesis
map00571	Lipoarabinomannan (LAM) biosynthesis
map04212	Longevity regulating pathway - worm
map00510	N-Glycan biosynthesis
map04330	Notch signaling pathway
map04122	Sulfur relay system
map07229	Angiotensin receptor and endothelin receptor antagonists
map07037	Antiarrhythmic drugs
map02025	Biofilm formation - Pseudomonas aeruginosa
map00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
map07032	Hypnotics
map05134	Legionellosis
map05020	Prion disease
map04614	Renin-angiotensin system
map00100	Steroid biosynthesis
map05152	Tuberculosis
