mz__rtMin	putative_mw	exact_mass	kegg_id	name	formula	pathways	annotation
135.04397__1.834	136.05125	136.0524	C06224	Fe(III)hydroxamate; Fe(III)hydroxamic acid; (4S)-2-Methyl-1,4,5,6-tetrahydropyrimidine-4-carboxylate; 3,4-Dihydroxystyrene	C8H8O2	Metabolic pathways;Two-component system;ABC transporters;Glycine, serine and threonine metabolism;Microbial metabolism in diverse environments;C5-Branched dibasic acid metabolism;Phenylpropanoid biosynthesis	putative_multi
135.04397__1.834	136.05125	136.0524	C14087	3-Methylsalicylaldehyde; 2-Hydroxy-3-methylbenzaldehyde; alpha-Naphthoic acid; 3-Methylsalicylate	C8H8O2	Microbial metabolism in diverse environments;Degradation of aromatic compounds;Naphthalene degradation	putative_multi
135.04397__1.834	136.05125	136.0524	C21166	4-Hydroxy-3-methylbenzoate; 4-Hydroxy-m-toluate; Hydrocaffeyl-CoA; 4-Hydroxy-3-methylbenzaldehyde	C8H8O2	Microbial metabolism in diverse environments;Lipopolysaccharide biosynthesis;Toluene degradation	putative_multi
137.05954__4.56	138.06682	138.0681	C11477	tRNA containing 5-(aminomethyl)-2-thiouridine; tRNA containing nm5s2U; Bisulfite; Sugar	C10H16N3O8PS(C5H8O6PR)n(C5H8O6PR)n	Cysteine and methionine metabolism;Sulfoquinovose metabolism	putative_single
137.0597__4.681	138.06698	138.0681	C11477	tRNA containing 5-(aminomethyl)-2-thiouridine; tRNA containing nm5s2U; Bisulfite; Sugar	C10H16N3O8PS(C5H8O6PR)n(C5H8O6PR)n	Cysteine and methionine metabolism;Sulfoquinovose metabolism	putative_single
138.01851__0.392	139.02578	139.0269	C01020	6-Hydroxynicotinate; 6-Hydroxynicotinic acid; Caldesmon phosphate	C6H5NO3	Metabolic pathways;One carbon pool by folate;Biosynthesis of secondary metabolites;Biosynthesis of cofactors;Nicotinate and nicotinamide metabolism;Glycine, serine and threonine metabolism;Methane metabolism;Microbial metabolism in diverse environments;Folate transport and metabolism;Porphyrin metabolism;Biosynthesis of various siderophores	putative_single
139.05014__0.821	140.05742	140.0586	C05828	Methylimidazoleacetic acid; Tele-methylimidazoleacetic acid; 1-Methyl-4-imidazoleacetic acid; 1-Methylimidazole-4-acetate; Methylimidazoleacetate; 5-Hydroxyindoleacetylglycine	C6H8N2O2	Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of various plant secondary metabolites;2-Oxocarboxylic acid metabolism;Tryptophan metabolism;Histidine metabolism;Glucosinolate biosynthesis	putative_multi
139.05014__0.821	140.05742	140.0586	C13693	4,5,6,7-Tetrahydroisoxazolo(5,4-c)pyridin-3-ol; THIP; Gaboxadol; Isoguvacine	C6H8N2O2	NA	putative_multi
141.09095__1.429	142.09865	142.0994	C16653	2-n-Propyl-2-pentenoic acid; 2-En-valproic acid; 2-Ene-VPA	C8H14O2	Drug metabolism - cytochrome P450	putative_single
144.02906__0.972	145.03634	145.0375	C00940	2-Oxoglutaramate; 2-Oxoglutaramic acid; alpha-Ketoglutaramate; 2-Ketoglutaramate; cGMP; Cytochrome c-552	C5H7NO4	Metabolic pathways;Renin secretion;Salivary secretion;Bile secretion;Chemical carcinogenesis - reactive oxygen species;Purine metabolism;Biosynthesis of secondary metabolites;Platelet activation;Thermogenesis;Prolactin signaling pathway;Aldosterone synthesis and secretion;Biosynthesis of amino acids;Alanine, aspartate and glutamate metabolism;Pyrimidine metabolism;cGMP-PKG signaling pathway;Olfactory transduction;Regulation of lipolysis in adipocytes;Gap junction;Circadian entrainment;Long-term depression;Prostate cancer;Pathways in cancer;Phenylalanine, tyrosine and tryptophan biosynthesis;Plant hormone signal transduction;Vascular smooth muscle contraction;Phototransduction;Estrogen signaling pathway;Oxytocin signaling pathway;GnRH secretion;Endocrine and other factor-regulated calcium reabsorption;Chemical carcinogenesis - receptor activation;Steroid hormone biosynthesis;Ovarian steroidogenesis;Endocrine resistance;Breast cancer;Progesterone, androgen and estrogen receptor agonists/antagonists;Hormone signaling	putative_single
144.02909__0.466	145.03643	145.0375	C00940	2-Oxoglutaramate; 2-Oxoglutaramic acid; alpha-Ketoglutaramate; 2-Ketoglutaramate; cGMP; Cytochrome c-552	C5H7NO4	Metabolic pathways;Renin secretion;Salivary secretion;Bile secretion;Chemical carcinogenesis - reactive oxygen species;Purine metabolism;Biosynthesis of secondary metabolites;Platelet activation;Thermogenesis;Prolactin signaling pathway;Aldosterone synthesis and secretion;Biosynthesis of amino acids;Alanine, aspartate and glutamate metabolism;Pyrimidine metabolism;cGMP-PKG signaling pathway;Olfactory transduction;Regulation of lipolysis in adipocytes;Gap junction;Circadian entrainment;Long-term depression;Prostate cancer;Pathways in cancer;Phenylalanine, tyrosine and tryptophan biosynthesis;Plant hormone signal transduction;Vascular smooth muscle contraction;Phototransduction;Estrogen signaling pathway;Oxytocin signaling pathway;GnRH secretion;Endocrine and other factor-regulated calcium reabsorption;Chemical carcinogenesis - receptor activation;Steroid hormone biosynthesis;Ovarian steroidogenesis;Endocrine resistance;Breast cancer;Progesterone, androgen and estrogen receptor agonists/antagonists;Hormone signaling	putative_single
