feature	ASV001	ASV002	ASV003	ASV004	ASV005	ASV006	ASV007	ASV008	ASV009	ASV010	ASV011	ASV012	ASV013	ASV014	ASV015	ASV016	ASV017	ASV018	ASV019	ASV020	ASV021	ASV022	ASV023	ASV024	ASV025	ASV027	ASV028	ASV029	ASV030	ASV032	ASV033	ASV034	ASV035	ASV036	ASV037	ASV038	ASV039	ASV041	ASV042	ASV043	ASV044	ASV045	ASV046	ASV048	ASV049	ASV050	ASV051	ASV052	ASV054	ASV055	ASV056	ASV058	ASV059	ASV061	ASV062	ASV063	ASV064	ASV065	ASV066	ASV067	ASV068	ASV069	ASV070	ASV072	ASV076	ASV078	ASV081	ASV083	ASV090	ASV095	ASV097
DINP_high_wk22_dinp_d2_D	0.00904445855265222	0.618443003323734	0.333320436936721	0.0952070300667273	0.254495820279234	0.306746100156367	0.318221274066081	0.191529862067638	0.0190391911000073	0.239714567287572	0.06524488453126	0.107234363625751	0.190977102709048	0.10287651197821	0.0697472526575242	0.0922143578303685	0.144116068833388	0.116708973659869	0.0298426598809329	0.119001181521821	0.0472057596024386	0.0676574929437516	0.0866242172353839	0.0634196373812863	0.061510293923758	0.0250302782515065	0.0775968332253993	0.0469487380003655	0.0843519626893351	0.0472254645704603	0.0174602112932903	0.0216011011222351	0.0363609896148806	0.0905680066982641	0.0352438535041608	0	0.00708525511437831	0.00360555908753745	0.0692374201083742	0.0539256309894367	0.0450881608040875	0.0660400073906835	0.0516863433076071	0.0414090068463911	0.0176191975469669	0.0493081814983707	0.00794992650646612	0	0	0.0198986496449809	0.0193779513618335	0.0110761011512824	0.0145570246879214	0	0.00594141526668128	0.0385224729376006	0	0	0	0.00924675277387267	0.0073417278913872	0.0288605480277936	0	0.0164740872572638	0	0	0.00973668299943419	0.00851479607219596	0	0.00272580600955135	0.00934893290017793
DINP_high_wk22_dinp_d2_E	0.00600836370501131	0.469320067104119	0.416938833030674	0.242659557484206	0.344024231049719	0.166661792305626	0.280609225398964	0.216407069047924	0.0162180781874434	0.208647285890325	0.0809363600496637	0.0833485449795251	0.309917569189654	0.118658759793571	0.100306227529666	0.100422616243794	0.138754656605408	0.127984242531482	0.0229368318064911	0.103088988147357	0.0428299942846634	0.0634446286406593	0.0734581990638398	0.0631996601155403	0.0342963570651766	0.0208763816382746	0.102393952683862	0.0384472001876072	0.0940997383574894	0.0509527127585248	0.0172954278763707	0.0201854486234288	0.0294820929284022	0.0620645587489795	0.0286387011682193	0	0.00424265341514444	0	0.115356241012629	0.0397672159707904	0.0427394895019755	0.0653319848900946	0.0730342530404351	0.0434582980234039	0.0192703130077881	0.0399291512998124	0.00700005716792723	0	0	0.0205023875231597	0.0172954278763707	0.00735533654100774	0.00753001139855759	0	0.00555880547197374	0.0222518924594959	0	0	0	0.00642655184184001	0.00864880714825683	0.0230490145420926	0	0.0186583063766984	0	0	0.00661820515660694	0.00849716056575643	0	0.00160623853110397	0
DINP_high_wk22_dinp_d2_F	0.00668585567043431	0.50144131789911	0.51360178354648	0.25516072088711	0.263505745761981	0.254444641451123	0.268656338615968	0.279636687954229	0.0133646411857371	0.250491973322573	0.094933475268388	0.0683132479613141	0.104985297655143	0.143393624230846	0.0821718063081745	0.0468481501397685	0.096479733119183	0.0771556240711502	0.029534007205302	0.0689467085448834	0.0204371022311053	0.0700650617177078	0.072704781949575	0.0483404141230272	0.0473785510257041	0.0128639079478007	0.081833982579601	0.0304540257483698	0.0308399334161799	0.0213179933272716	0.00945000837512539	0.0157134757897078	0.0192453819401835	0.041298673680097	0.00760270436408411	0	0.00561251554613052	0.00706405195517581	0.0325805084908617	0.0341559453614768	0.0490963760444512	0.0256275978456499	0.0784941117974206	0.016368534686464	0.0170754893646102	0.029175906248395	0.0121281578113973	0	0.0850594327571706	0.0115740218365714	0.0240404935824818	0	0.00857331912508759	0	0	0.0143137343822136	0	0	0	0.00945000837512539	0.00687755376439523	0.0239309489236276	0	0.0164485987055092	0	0.00458259173412234	0.00857331912508759	0	0	0.0144051849339073	0.00668585567043431
DINP_high_wk22_dinp_d2_G	0.00270740058168409	0.448014373360034	0.531589871993719	0.153197615407611	0.405589241659912	0.122689669707279	0.235413950147539	0.192520233716655	0.0157045304023915	0.20462218515977	0.0829567841760484	0.084857197608135	0.263689355246004	0.133658521024312	0.0878690370302729	0.0935265785598286	0.161842245327503	0.11222004443173	0.0247586599499597	0.0859774712569316	0.0287743719856816	0.0813746849663921	0.0865464023695182	0.0531762099873316	0.0233366204729001	0.0211399519515119	0.0826754028407986	0.0394792805217299	0.0925366573599406	0.0398183344626062	0.0139767206469481	0.0211399519515119	0.0247586599499597	0.0444043532500011	0.0330429464636497	0	0.00644209392170279	0	0.0934083368255835	0.0330799046462728	0.0486859241732576	0.0413541251185174	0.0760964431157451	0.0212551648210463	0.0250041053233478	0.0331168216439308	0.01531082353148	0	0	0.0197667115493042	0.022914119849537	0.00625304002977436	0.00827052353704974	0	0	0.00781032908229142	0	0	0	0.00349285694148159	0.0100056654375947	0.0230204823242481	0	0.0193925021671342	0	0.0051865442451399	0.00644209392170279	0.00870068446965276	0	0	0.00441589478490127
DINP_high_wk22_control_d7_A	0.0516655325870824	0.448669740467783	0.447279175458626	0.195112442235098	0.498166793254766	0.377777832385042	0.105914062197384	0.159177419352903	0	0.140638104861511	0.0778514143356922	0.25606826211446	0.106533980704851	0	0.0926732178514385	0.0730407728638021	0.022821731211912	0.0741048577552327	0.0351861030528418	0.0492591610011017	0.0147365776218985	0.0483505653150003	0.0510072992393779	0	0.0690356249602058	0.0176650915136549	0.0540042047679734	0.0430371730456772	0	0.0112472811872858	0.0177840755041176	0.0308745501824996	0	0.0916725873769741	0.0110582089135783	0.0183673606034076	0.0168713664588465	0.0229599352255512	0.0261790479295525	0.0403018882578551	0.0124908011721903	0.0332436016297239	0.10078805487349	0.0406148842950571	0.0928789100967918	0	0	0	0	0.0181943267564257	0.0105708165267203	0	0.00665587366006819	0.0378722142488604	0	0.0200681853058035	0	0	0	0	0.00681180722503899	0.00984901703194773	0	0	0.0784203490643162	0	0.00794992650646612	0	0.00883187568324923	0.0113406134478887	0
DINP_high_wk22_control_d7_B	0	0.534574937227143	0.342229262631393	0.115449219863809	0.505673961754658	0.363376575294331	0.0884768804792618	0.166333155889083	0	0.147406186715057	0.0426548729234432	0.267305217712649	0.115138740699155	0	0.100948676805656	0.107162869419984	0.0240136593517529	0.140150300692958	0.0411987147498815	0.0722814603626628	0.0309915708907569	0.052925195950153	0.05149985392587	0	0.0524402504983435	0.0246518375601916	0.0588872863227725	0.0724812902988199	0.0119132579161086	0.0458897353600514	0.0269312519705181	0.0369974381999671	0	0.0895910780086604	0.0169139670090445	0.0171095459841482	0.0214780569496353	0.0114383873855395	0.0179940808180496	0.0662767447858021	0.0120979808393161	0.0421575097666446	0.134842163983603	0.0230714203651911	0.0490477163346829	0	0	0	0	0.0179323581130951	0.00614007115372936	0	0.0121892722655518	0.0257952043863008	0.00631668668538285	0.01780824312333	0	0	0	0.017557382315842	0.00556779313001387	0.0116306534383763	0	0	0.032596783344209	0	0.0123698748679554	0	0.0100998746754947	0.00148996699386327	0
DINP_high_wk22_control_d7_C	0.018138579892673	0.369605838412495	0.402073803599614	0.190109680161501	0.510813841987969	0.302495827432543	0.11499142209756	0.20372296313595	0.0136903509514135	0.172705119432208	0.0602582419927483	0.279392887352997	0.193312746219237	0	0.090336781283183	0.105005355149971	0.0349668018551139	0.184635490987466	0.0377917690231722	0.0805343321504493	0.0358682537430597	0.0602084731350147	0.071782757318295	0.0141910013111034	0.0432125909347066	0.0355328901901199	0.0786221549819395	0.0685178013711837	0	0.0452879101951138	0.0298910365651281	0.0422786089574538	0.0256143216514499	0.100311290896979	0.0403954129298957	0.0212287233173606	0.0131707262576457	0.0179728901452027	0.031133328285043	0.0879876069436505	0.0188396653497002	0.052268106463085	0.127346197213671	0.031641825051826	0.0690991490029684	0	0.0312292972808349	0.0136173221055233	0	0.0223276697582017	0.0206573641857809	0	0.0127866301396413	0.0208016924591556	0.0133212423057835	0.0150104270912757	0.0260773682062532	0.00582240354809988	0.00705697007942908	0.0176933226435598	0.00647306613718808	0.0178616048199388	0.0178056874031898	0.0123906358502474	0	0	0	0.0042308517823664	0.0103762644528621	0.00719728382364096	0.00747000923097746
DINP_high_wk22_control_d7_D	0.00924675277387267	0.447286283723294	0.451218480009414	0.104497757788492	0.317948835435847	0.406128669471142	0.128719008195342	0.305445816994412	0.0154748542759304	0.273377069732228	0.0819737087575168	0.136817112324483	0.129380724895823	0.0909688842431273	0.0747121755584555	0.102636912592184	0.0587944835845001	0.104198502953813	0.0229353707145957	0.118432909332078	0.0355838212904871	0.0476230408531117	0.0918157471666091	0.0289536738824804	0.0878680360802608	0.0126631580231712	0.0953432502518798	0.0635760706797756	0.0671674576428653	0.0484256078643036	0.0178490848987599	0.0378848191924462	0.017424744688914	0.0968542468308526	0.018380316718805	0	0.0063718560455515	0	0.0732034713946378	0.0580978741695653	0.0400006150424932	0.0621610590449924	0.0679925113267827	0.0571871537467346	0.0179088885029705	0.0668313977401666	0.0100243386743699	0	0	0.011326229975462	0	0.0175470396140924	0.0198352361907976	0	0	0.0280912005073389	0	0	0	0.0124072921745509	0.00800633309637798	0.0148400190716423	0	0.0221768262142405	0	0	0	0.0119687443007646	0	0.0123208230729878	0.0105441035716835
DINP_high_wk22_control_d7_E	0.00664083189707794	0.337153075139225	0.588329293851416	0.159762223202814	0.455392194939866	0.280528385364658	0.105190980092399	0.124681308426993	0.0144373987199132	0.223643338839768	0.103307443684034	0.159214884204974	0.237164753425628	0.106995684602425	0.110058554467375	0.110808464400587	0.0584352454083392	0.096026150552137	0.0208344619163384	0.0969721815272851	0.0322113924488117	0.0425234835815604	0.0753812497744367	0.032815140833879	0.0412933402269392	0.0127217817518881	0.0932105385815035	0.0498103224359421	0.0755931957090645	0.0392201548408393	0.014180320079563	0.0306100245554855	0.0100268324614027	0.0535188717744939	0.0146899803309093	0	0.00564803852758676	0	0.10079109158244	0.0392201548408393	0.0324391130768549	0.0581823607881937	0.0740304984484483	0.0544968986427521	0.0198703538240708	0.0382378146550549	0.00952379873243805	0	0	0.019051165529379	0	0.00519617580567664	0.00782951164532536	0	0.00470108102517413	0.010504573227465	0	0	0	0	0.00751006393793659	0.0114001592131055	0	0.0202977727376516	0	0	0	0.0137411383768272	0	0.00221359616989058	0
DINP_high_wk22_control_d7_F	0.00987436929199963	0.348895492923289	0.584254759339328	0.225635614647955	0.317020857371781	0.452694862175136	0.104600764780384	0.199358084691846	0.00825236608047343	0.228012678842161	0.121589843222483	0.127144864870492	0.0699613784547506	0.146648362653748	0.0858007721907393	0.0582905530887727	0.0620617075547306	0.0575741171722488	0.031821922688209	0.0452963116622099	0.00949751083936243	0.0334858633483527	0.0456206692221593	0.0233035468523688	0.0662195798674218	0.00470108102517413	0.0728199037829584	0.04021018805491	0.0249075748086499	0.012799060318082	0.0079120987289686	0.0185531532056955	0.00836071939074142	0.0491976845822386	0	0	0.00383406729604016	0	0.0217929388127945	0.0417611973825988	0.0501992532829314	0.0355665474979171	0.0548675653143391	0.0323101411837696	0.0103322213878857	0.0336504880353478	0.0122854219828139	0	0.140533813312888	0.00868918293971574	0	0	0.00591611429410857	0	0	0.0070498810901432	0	0	0	0.00767470888305616	0.00717641164563579	0.0240424284866257	0	0.00730759540116116	0	0.00997012004079898	0	0	0	0.0207987349057801	0.00428953527254886
